#{"t_start": 1660902516.4004312, "env_id": "DobotReachDense-v0"}
r,l,t
-8.170238,50,2.186377
-8.231309,50,2.429292
-14.151528,50,3.231183
-9.793729,50,3.475606
-10.609713,50,3.718747
-0.658636,4,4.331187
-0.986637,7,4.365949
-14.780926,50,4.643431
-7.925779,50,4.947067
-10.092655,50,5.894511
-12.164498,50,6.172916
-12.364176,50,7.031075
-14.865493,50,11.855899
-10.48856,50,12.102982
-11.140972,50,12.942231
-11.128775,50,13.18828
-6.673072,50,13.99353
-7.027611,50,14.24596
-14.844349,50,14.529363
-10.362081,50,15.494338
-15.243514,50,15.738054
-1.365603,12,15.797285
-11.714961,50,16.695379
-6.204616,50,20.533777
-11.53113,50,20.779335
-11.195978,50,21.489674
-12.870952,50,21.733679
-7.116839,50,22.573462
-8.476447,50,22.81755
-0.518422,4,22.837418
-6.546876,50,23.669841
-12.496894,50,23.915453
-9.365074,50,24.160763
-7.84646,50,25.004767
-8.114978,50,29.870342
-7.53657,50,30.629828
-13.731269,50,30.875334
-7.817035,50,31.122169
-0.540031,4,31.142121
-12.38722,50,31.896672
-12.896897,50,32.141063
-3.323295,25,32.267785
-6.647386,50,33.055352
-8.462623,50,33.302968
-7.20309,50,34.130356
-13.767597,50,38.586574
-8.851178,50,38.840084
-5.204895,50,39.634338
-8.489471,50,39.878564
-4.964064,50,40.569961
-1.341851,15,40.643773
-5.628104,50,40.892111
-8.134617,42,41.100905
-8.959515,50,41.819263
-1.443678,7,41.853217
-12.640644,50,42.096385
-3.961565,38,42.83623
-5.54698,40,43.037717
-2.913675,22,47.732429
-1.955543,14,47.804852
-7.724052,38,47.999692
-6.103844,50,48.748272
-5.530304,50,48.996248
-4.617493,23,49.109395
-2.972625,24,49.741577
-7.445887,47,49.973048
-1.884782,18,50.062608
-1.94438,16,50.140581
-8.715719,50,50.942839
-6.02191,35,51.115979
-12.197409,50,51.358881
-0.660998,4,51.378708
-5.212184,38,52.013145
-9.334308,50,56.939425
-4.881313,26,57.074976
-9.120088,50,57.659488
-6.436397,50,57.905327
-6.830902,50,58.495466
-1.196445,7,58.530361
-5.263806,47,58.760266
-3.372049,27,58.895105
-6.398872,47,59.526252
-4.67861,34,59.694505
-5.728346,50,59.939013
-2.635012,23,60.053189
-2.286009,15,60.544395
-6.017803,36,60.72659
-3.621838,23,60.842323
-2.095316,17,60.926473
-6.117118,50,66.149087
-2.287229,17,66.235539
-5.173351,27,66.38055
-2.272283,25,66.521751
-3.275921,20,66.638219
-5.173827,33,67.141517
-1.542888,14,67.224499
-3.078985,24,67.364741
-6.053235,50,67.658895
-4.610618,33,67.849794
-2.597806,19,68.245329
-3.062771,19,68.356426
-4.16405,23,68.490378
-2.294845,17,68.588402
-5.131344,50,68.877153
-0.612835,4,69.215667
-5.62372,34,69.411916
-1.690482,16,69.50622
-4.762132,49,74.097499
-3.674942,37,74.518247
-2.239556,20,74.616801
-5.620364,50,74.864437
-3.291432,31,75.018731
-4.588442,50,75.497331
-1.531519,16,75.57704
-2.300154,13,75.642576
-2.582862,26,75.770207
-3.432664,21,75.87436
-3.446187,19,76.157809
-3.529901,31,76.309027
-1.141585,12,76.367633
-6.068055,41,76.571028
-3.237334,17,76.653756
-4.523738,47,77.137944
-3.051681,29,77.279442
-2.483664,18,77.3671
-3.928796,28,82.150558
-1.853295,20,82.549851
-5.766906,31,82.730885
-5.349259,33,82.925311
-2.410845,18,83.026322
-4.953002,35,83.229576
-1.583375,16,83.51976
-4.305537,47,83.788512
-7.435877,50,84.082855
-4.960953,23,84.47907
-5.774426,50,84.724524
-5.732348,38,84.916941
-2.061717,15,84.991234
-1.160234,9,85.036078
