#{"t_start": 1660902515.839476, "env_id": "DobotReachDense-v0"}
r,l,t
-6.843035,50,2.745502
-17.999392,50,2.988369
-14.817062,50,3.790328
-10.156711,50,4.034859
-12.201918,50,4.277985
-1.233015,7,4.905887
-17.140907,50,5.178947
-14.026514,50,5.482085
-7.70923,50,6.430766
-6.450893,50,6.712097
-7.038514,50,7.569851
-13.222804,50,12.39564
-7.534467,50,12.642632
-8.263839,50,13.481919
-12.204821,50,13.72804
-12.725289,50,14.531794
-0.244224,2,14.542577
-10.977244,50,14.794809
-12.260087,50,15.07561
-1.338834,9,15.12706
-8.99322,50,16.08789
-24.879094,50,16.331691
-12.092743,50,17.229817
-7.787574,50,21.06819
-7.313549,50,21.313897
-13.059972,50,22.024113
-7.11914,50,22.268959
-3.762759,33,23.02476
-10.283672,50,23.269564
-9.028596,50,23.51417
-2.565783,24,23.631837
-7.198932,50,24.464714
-12.968107,50,24.709426
-13.726387,50,25.554025
-0.366407,3,25.570584
-9.548819,50,30.435645
-0.517678,4,30.455642
-10.554415,50,31.215256
-6.273903,50,31.460023
-11.349974,50,31.706754
-10.302611,50,32.461497
-10.557775,50,32.706061
-9.699474,50,33.493476
-11.973779,50,33.742756
-7.556604,48,33.980365
-6.644215,50,34.8075
-11.990736,50,39.267859
-6.015457,50,40.066055
-10.52048,50,40.311381
-7.601657,50,40.555523
-2.573666,28,41.14
-7.123987,50,41.386899
-7.622393,50,41.635222
-8.539133,50,42.353937
-7.010822,43,42.563208
-2.046705,18,42.650899
-2.932548,21,42.753124
-10.904883,50,43.55836
-2.234286,16,43.637263
-6.209589,50,48.473659
-12.122663,50,49.22774
-7.082051,50,49.476079
-0.577661,4,49.496378
-5.732743,50,50.255789
-6.16022,50,50.502517
-5.547935,50,50.749071
-1.45533,15,50.823351
-2.738647,32,51.53726
-3.44289,28,51.675377
-5.662886,50,51.918353
-14.482644,50,52.612242
-2.155918,13,52.676522
-6.22534,50,57.609215
-6.69525,47,58.178309
-6.959141,50,58.425885
-9.511335,50,58.671797
-1.290189,11,59.0707
-3.617098,26,59.196799
-4.189989,37,59.379352
-7.03112,50,59.626946
-7.448021,41,60.228663
-5.442673,30,60.376043
-5.044155,50,60.622822
-0.781116,6,60.651994
-6.504545,50,61.321106
-0.571663,4,61.341178
-3.695355,29,61.485909
-4.71986,26,66.235088
-3.664388,24,66.708421
-1.654933,16,66.789935
-7.746885,50,67.06333
-1.536184,13,67.138497
-4.898911,50,67.744161
-4.813295,22,67.870499
-4.352061,28,68.036602
-2.969759,27,68.194269
-3.351181,24,68.332798
-7.088753,43,68.870384
-1.787753,13,68.945127
-0.468477,3,68.962919
-4.219624,27,69.119263
-0.529505,4,69.14294
-2.334649,16,69.234095
-5.370711,50,69.839251
-4.341232,32,70.023837
-3.112503,32,70.212265
-3.015584,22,74.64629
-1.742423,19,74.745399
-1.491911,14,75.048476
-0.703678,7,75.082975
-3.876918,23,75.196099
-7.05412,44,75.413755
-4.667859,34,75.58344
-1.182083,7,75.618718
-0.62236,5,75.871641
-5.164269,34,76.041482
-2.217636,20,76.14173
-0.633636,4,76.16183
-3.026755,22,76.271486
