#{"t_start": 1660902516.5862045, "env_id": "DobotReachDense-v0"}
r,l,t
-13.860711,50,2.001225
-17.671209,50,2.24414
-11.447501,50,3.045996
-10.256238,50,3.290422
-9.749936,50,3.533607
-7.482488,50,4.393017
-6.844334,50,4.692405
-15.957417,50,5.6438
-12.267971,50,5.926612
-11.776989,50,6.182251
-15.804922,50,11.61508
-13.099476,50,11.862009
-16.434889,50,12.701642
-16.668803,50,12.948669
-7.234411,50,13.19162
-15.211471,50,14.004317
-8.165381,50,14.278666
-11.058543,50,15.254345
-13.289578,50,15.498427
-13.553636,50,15.746521
-10.897167,50,20.234934
-9.277569,50,20.480359
-11.529958,50,21.191241
-10.283385,50,21.436236
-4.676813,27,21.568366
-8.312283,50,22.40787
-8.531067,50,22.652212
-11.413946,50,23.48469
-12.75136,50,23.730299
-12.859377,50,23.975588
-11.530939,50,24.819575
-12.82677,50,29.685214
-10.808848,50,30.444721
-1.636457,17,30.528819
-13.504957,50,30.774246
-0.359373,3,30.789531
-7.067717,50,31.035475
-3.549838,27,31.677732
-1.820339,15,31.75058
-8.367773,50,31.996259
-0.608051,5,32.021504
-14.501614,50,32.808622
-6.501775,50,33.056414
-6.869009,40,33.25562
-8.625007,50,34.08294
-10.756383,50,38.543439
-2.018319,14,38.614717
-4.223035,22,38.724769
-10.718574,50,39.517088
-0.762413,5,39.541976
-6.294443,50,39.785803
-1.44428,16,39.864881
-2.571055,19,40.404911
-6.134022,50,40.652609
-4.330713,45,40.873909
-1.166007,6,40.905706
-8.615893,50,41.623894
-2.944416,22,41.730511
-8.858938,50,41.973726
-11.053688,50,42.777961
-4.831835,39,47.557811
-0.867586,6,47.589925
-3.032312,28,47.728929
-8.610334,50,48.483088
-9.878203,50,48.731426
-4.837574,28,48.870789
-4.471062,31,49.535615
-5.777193,50,49.782455
-8.589016,50,50.029351
-9.53128,44,50.802507
-7.449925,50,51.046177
-6.836551,50,51.739339
-5.591043,31,51.892302
-7.286322,50,56.823652
-2.434971,19,56.920344
-1.983161,11,56.974768
-1.290261,8,57.3468
-7.257618,50,57.596758
-3.428011,27,57.730443
-0.529261,4,57.75007
-5.032118,29,57.892251
-6.70956,50,58.48129
-0.632541,6,58.510701
-7.079636,50,58.758021
-2.641916,18,58.846526
-8.487757,50,59.493608
-2.759235,19,59.587215
-1.418473,12,59.645823
-7.185581,41,59.848012
-2.200363,22,60.374901
-8.327294,50,60.626722
-3.778641,31,65.396821
-6.907654,50,66.005481
-3.384571,32,66.171323
-7.500657,50,66.459017
-3.876561,27,66.618789
-0.861122,5,66.956454
-1.183911,7,66.999883
-2.534637,17,67.096509
-8.111063,50,67.392195
-5.266683,41,67.629071
-1.040493,6,67.664746
-8.44779,50,68.241589
-4.884873,30,68.41344
-4.901239,27,68.569752
-2.511123,28,69.049077
-4.487484,50,69.339185
-8.515533,50,73.932683
-4.820594,23,74.283541
-5.973097,41,74.485331
-4.035456,32,74.643335
-3.85716,22,74.753338
-2.13387,22,74.863278
-4.419892,27,75.226236
-4.035918,22,75.337056
-2.50003,22,75.447464
-4.895296,30,75.594834
-3.951325,45,76.007275
-6.380153,50,76.251575
-2.237638,14,76.321303
-7.049142,50,76.820887
-2.01397,13,76.884795
-0.437331,4,76.904206
-3.226629,18,76.991369
-4.605488,50,77.23581
-3.567447,22,81.994043
-3.884194,20,82.394892
-1.007146,7,82.434802
-2.163678,17,82.533281
-4.060839,19,82.645036
-1.004383,7,82.686575
-5.157603,27,82.84126
-7.844915,50,83.328109
-1.488953,13,83.402639
-1.492851,11,83.462028
-0.957507,11,83.52664
-5.037379,37,83.74441
-5.623504,37,83.961459
-3.261649,17,84.318382
