#{"t_start": 1660902516.0271704, "env_id": "DobotReachDense-v0"}
r,l,t
-14.626941,50,2.558434
-13.265764,50,2.801289
-10.957924,50,3.603243
-11.106422,50,3.847772
-11.904776,50,4.090886
-21.73013,50,4.950429
-14.566194,50,5.249575
-15.04722,50,6.201255
-15.433807,50,6.483292
-7.06671,50,6.733208
-10.076852,50,12.17247
-12.419242,50,12.419476
-2.705282,23,12.533919
-5.446106,32,13.284574
-1.974863,27,13.41917
-3.515074,27,13.550885
-13.091295,50,14.3555
-7.928857,50,14.607771
-14.182446,50,14.888746
-7.805465,50,15.8564
-9.405854,50,16.100268
-11.711531,50,16.997961
-8.181986,50,20.837032
-12.3227,50,21.08269
-0.818361,4,21.102558
-2.265905,14,21.635518
-13.847461,50,21.881887
-10.509931,50,22.125766
-9.767934,50,22.965271
-10.538754,50,23.209427
-12.995821,50,24.042016
-8.352055,50,24.28763
-8.584676,50,24.532794
-8.750835,50,25.376752
-2.0715,13,30.055538
-13.49795,50,30.307615
-9.136665,50,31.066859
-1.018763,7,31.101244
-11.137966,50,31.347026
-1.24825,7,31.381487
-5.084492,50,32.134749
-5.012504,42,32.341512
-0.93921,7,32.375016
-9.348892,50,32.624448
-6.374883,50,33.411492
-12.171026,50,33.658973
-8.402621,50,34.484913
-12.828822,50,38.941931
-3.595507,34,39.116644
-1.118982,7,39.151661
-2.743274,26,39.282288
-2.618907,17,39.913693
-1.872052,17,39.996574
-3.528781,36,40.173714
-12.330294,50,40.417146
-11.253807,50,41.111226
-14.331622,50,41.357974
-1.828179,15,41.431321
-11.677383,50,42.151428
-7.792672,45,42.371001
-7.750079,50,42.613676
-8.388012,50,43.420124
-5.955293,50,48.256123
-5.621309,50,49.010169
-9.216431,50,49.25914
-7.245571,38,49.447871
-5.558965,43,50.172879
-11.007553,50,50.419288
-5.063518,50,51.221605
-4.392583,50,51.467837
-7.037198,50,51.710562
-6.474282,50,52.405106
-0.819347,4,52.425165
-10.343,50,57.355205
-3.54589,18,57.447126
-7.395277,50,58.031512
-6.025541,37,58.213344
-5.350272,32,58.371566
-5.076251,29,58.857187
-2.001586,13,58.921852
-6.87499,50,59.167049
-11.918566,50,59.414233
-8.502029,50,60.061603
-0.962418,7,60.095948
-5.286025,24,60.213478
-1.671302,16,60.2918
-9.372509,40,60.905878
-7.896827,50,61.158954
-5.188024,46,66.007146
-0.327438,3,66.022455
-6.627976,50,66.627871
-7.793451,50,66.905442
-7.008814,50,67.200866
-8.329967,50,67.801132
-1.205009,7,67.843398
-4.646588,36,68.054864
-2.744328,26,68.204072
-2.994481,23,68.623523
-3.376048,22,68.752008
-2.226333,17,68.850546
-0.277831,3,68.868466
-7.19416,50,69.155359
-1.947623,19,69.581453
-5.887088,43,69.830735
-6.591714,38,70.054804
-1.904906,14,74.44261
-2.233328,19,74.543071
-4.015817,29,74.919949
-7.081655,50,75.165783
-7.602209,46,75.396356
-0.890444,6,75.426211
-8.043084,50,75.905066
-1.182169,7,75.939331
-2.181337,21,76.044686
-7.375728,50,76.478837
-5.752994,34,76.647187
-1.605533,14,76.715503
-2.181956,14,76.784308
-2.668047,30,76.933134
-2.547699,25,77.055411
-5.476601,40,77.505368
-3.540829,24,77.622846
-4.625627,43,77.832965
-2.610179,18,82.572945
-2.865166,20,82.975725
-3.793257,22,83.102688
-8.349475,50,83.392557
-1.414472,9,83.44527
-4.483361,50,83.931001
-5.580059,50,84.220252
-3.513264,31,84.40093
-2.457384,15,84.492334
-4.229367,24,84.886011
-6.050452,45,85.107541
-4.557756,27,85.244291
-1.759386,12,85.304214
-5.521379,50,85.798327
-2.240714,27,85.933344
-2.312402,24,86.053613
-5.34178,37,86.237102
-0.943754,10,90.822021
-1.130794,11,91.074209
-5.479107,38,91.261493
-3.318313,19,91.35636
-2.888657,17,91.442016
-3.152174,21,91.547711
-1.086219,6,91.577481
-3.014051,20,91.870672
-7.104029,50,92.116946
-3.566562,21,92.221052
-0.827658,5,92.246681
-3.264943,18,92.335307
-0.820426,6,92.365072
-2.610609,17,92.44781
-2.211175,14,92.695135
-2.486591,21,92.798755
-1.653147,13,92.861884
-0.58285,4,92.88172
-2.640867,21,92.985904
-1.358286,15,93.0602
-2.255014,21,93.162596
-1.821202,11,93.215768
-4.067038,22,93.581292
-2.21422,15,93.655348
-2.500233,13,93.718648
-2.145879,15,93.793043
-3.175352,32,93.952266
-2.894032,19,94.046436
-2.902339,23,94.382479
-1.432673,12,99.008799
-4.657987,34,99.181999
-3.183026,30,99.33204
-0.397703,4,99.352024
-1.809131,17,99.435811
-2.517388,16,99.51602
-1.790069,13,99.735131
-4.023464,26,99.864354
-2.825645,18,99.953289
-4.642264,29,100.096969
-1.213083,12,100.155329
-0.646142,4,100.175331
-2.353616,20,100.273703
-3.094148,21,100.632625
-1.874363,17,100.7175
-1.643748,14,100.785864
-1.779397,16,100.86471
-1.797656,11,100.918827
-2.314569,19,101.013516
-3.689198,28,101.15167
-2.837865,20,101.451842
-1.611029,13,101.517161
-0.578739,4,101.536847
-0.833353,8,101.576735
-2.734527,27,101.708436
-2.307817,12,101.767974
-0.822111,6,101.79806
-2.956734,19,101.892245
-2.90169,22,102.000175
-2.219566,15,102.321203
-4.049518,50,107.282824
-3.806737,29,107.426603
-4.099019,22,107.535496
-0.75743,7,107.571081
-7.008601,50,108.007244
-4.057128,24,108.125704
-1.602497,10,108.175623
-5.178303,50,108.654378
-2.707066,15,108.72931
-1.92805,15,108.804742
-0.804286,7,108.839299
-0.691999,5,108.864122
-1.918921,16,108.942956
-4.357726,34,109.110648
-2.943217,19,109.206974
-3.507981,27,109.524593
-4.255408,22,109.634354
-2.747988,17,109.718405
-2.573528,20,109.8178
-3.27476,19,109.911477
-3.083295,28,110.050293
-2.276385,21,110.324698
-1.373579,17,115.075977
-4.013912,50,115.329824
-0.91084,7,115.364851
-0.901303,6,115.39446
-0.653661,5,115.419885
-5.156607,31,115.764884
-1.81188,15,115.839322
-4.082501,20,115.938363
-0.970018,12,115.997539
-2.611426,19,116.090971
-4.375981,24,116.210212
-2.849099,18,116.298753
-2.878499,15,116.541673
-3.079309,27,116.675233
-1.317632,16,116.753259
-1.910805,11,116.807486
-3.106155,17,116.891058
-1.836519,18,116.982715
-1.777996,12,117.054449
-0.930133,7,117.095814
-1.136163,11,117.352078
-3.813323,24,117.472837
-2.181559,16,117.552142
-1.467534,16,117.63168
-1.901866,13,117.69774
-3.660195,24,117.816278
-3.965716,29,117.958453
-4.081619,31,118.361094
-5.349706,43,123.098328
-4.902081,50,123.345874
-0.722787,5,123.599673
-1.538626,13,123.666869
-5.217891,46,123.894589
-0.955709,6,123.923683
-2.347387,12,123.982562
-3.019932,32,124.138629
-4.041026,22,124.48957
-2.035319,21,124.595563
-2.17995,13,124.660727
-2.612887,16,124.740414
-3.855924,20,124.839727
-1.803465,10,124.889831
-1.950209,15,124.964345
-4.450866,36,125.344202
-2.66933,18,125.434211
-1.507754,12,125.494293
-3.150146,19,125.588889
-3.128389,22,125.699276
-1.17782,13,125.763772
-3.95674,22,125.872587
-1.604241,12,126.129351
-1.166337,10,126.180097
-1.895045,14,126.24983
-0.27679,3,126.265112
-0.590613,5,126.289946
-1.264978,10,126.340844
-2.820671,17,131.066692
-1.452412,15,131.142944
-1.509734,15,131.217069
-1.543949,12,131.276271
-3.747712,18,131.628658
-1.362025,10,131.679638
-1.754745,14,131.74801
-2.765262,15,131.820503
-2.291051,13,131.883909
-2.880809,16,131.962655
-4.126938,27,132.099566
-1.088971,9,132.145057
-1.016722,5,132.170341
-3.809069,38,132.539315
-0.751496,10,132.588451
-4.608074,31,132.74445
-1.315885,11,132.798178
-2.40575,19,132.892607
-3.412491,21,132.995326
-3.104543,27,133.352654
-1.613134,12,133.412709
-6.211394,50,133.65875
-1.635501,12,133.718499
-2.896554,18,133.808642
-1.296351,9,133.853071
-2.508611,15,134.141544
-3.643786,19,134.236267
-4.1802,22,134.345907
-3.854686,25,138.532389
-3.482826,18,138.627579
-1.670059,11,138.682449
-1.886676,15,138.758233
-1.65884,14,139.001617
-0.664373,5,139.02708
-1.514058,10,139.077853
-2.433918,28,139.217594
-0.790264,5,139.242939
-0.916432,11,139.297471
-6.070429,50,139.548344
-1.232003,11,139.767962
-1.127233,13,139.83365
-1.493809,11,139.88761
-3.09984,18,139.97627
-1.246516,7,140.011759
-1.374763,7,140.046146
-4.516448,29,140.192383
-1.28248,9,140.237333
-3.424875,21,140.342238
-5.095815,50,140.829897
-3.054098,31,141.003586
-1.936194,25,141.140376
-3.516608,18,141.241053
-2.347705,19,141.521803
-2.541613,21,141.6252
-2.775086,15,141.6992
-3.319203,19,141.792986
-1.194334,10,141.842351
