#{"t_start": 1660902515.6528685, "env_id": "DobotReachDense-v0"}
r,l,t
-15.583115,50,2.931442
-15.32637,50,3.17439
-11.570347,50,3.976272
-9.73725,50,4.220771
-10.439619,50,4.463973
-12.054434,50,5.323452
-9.022526,50,5.622712
-14.704501,50,6.574417
-12.703658,50,6.856338
-7.690862,50,7.106381
-11.986128,50,12.545621
-13.260364,50,12.792686
-9.171188,50,13.63225
-12.471463,50,13.879551
-7.548362,50,14.122409
-8.797506,50,14.935161
-7.055613,50,15.208802
-8.837096,50,16.185186
-9.91964,50,16.429233
-5.872975,50,16.677295
-11.13052,50,21.165777
-8.486217,50,21.411126
-7.725949,50,22.122074
-10.45502,50,22.36711
-8.635334,50,22.611451
-14.334919,50,23.450237
-9.041801,50,23.694958
-10.247523,50,24.528051
-5.758668,50,24.771668
-15.628858,50,25.019331
-2.750593,20,25.715097
-8.565454,50,30.5811
-4.978748,37,30.765268
-12.259301,50,31.523226
-6.012537,50,31.769547
-10.77484,50,32.523945
-5.19529,47,32.753382
-11.466575,50,33.003217
-12.653212,50,33.790291
-9.365555,50,34.037742
-13.306705,50,34.863883
-6.534312,50,39.321181
-12.65129,50,39.575209
-7.94408,50,40.369766
-2.009312,14,40.437969
-9.926045,50,40.682496
-2.853795,17,40.766004
-7.815025,50,41.458862
-5.881811,50,41.706257
-10.045927,50,42.427428
-5.823546,50,42.671272
-7.319325,50,42.914973
-5.397254,50,43.719088
-6.200135,50,48.555858
-5.112688,28,48.701371
-3.920329,20,49.298961
-6.130801,50,49.548826
-7.877984,50,49.796459
-8.455634,50,50.556081
-9.024424,50,50.803002
-7.594253,50,51.605261
-3.867925,39,51.796782
-1.937672,12,51.856514
-10.180663,50,52.099178
-2.764791,24,52.664907
-4.545984,38,52.852684
-3.690801,33,57.696511
-1.598717,16,57.780237
-5.111515,50,58.36425
-4.197135,21,58.469179
-2.51285,17,58.552675
-7.242362,50,58.798675
-6.103738,50,59.388024
-6.275683,48,59.625166
-10.660798,50,60.271764
-7.802092,50,60.518083
-1.697904,16,60.596532
-6.707161,50,60.843331
-2.54655,24,61.380996
-4.409898,31,61.537939
-6.81403,43,66.36988
-4.171432,23,66.486224
-1.952214,18,66.931087
-3.815102,36,67.119458
-2.369977,17,67.213961
-1.668052,15,67.302009
-8.823095,50,67.905496
-1.590866,11,67.969633
-1.565348,15,68.056293
-4.698502,25,68.204666
-2.586699,22,68.334557
-7.629584,50,68.907319
-4.726291,25,69.05624
-2.104715,15,69.143082
-5.403781,50,69.431769
-3.204678,29,69.599
-4.208537,24,70.055768
-6.794846,40,70.287679
-2.374486,17,70.386069
-4.826208,33,74.880053
-2.013979,15,74.956171
-1.95148,14,75.259007
-1.148352,10,75.308045
-5.652719,34,75.475497
-2.284849,24,75.594858
-3.930908,21,75.699083
-1.864759,13,75.764155
-3.544071,21,76.097542
-5.467998,50,76.347856
-0.835773,5,76.373238
-5.24297,33,76.536198
-2.816214,20,76.634956
-3.043259,21,76.928254
-4.678597,27,77.059689
-7.95297,50,77.306358
-5.23173,50,77.805458
-2.425793,31,77.956907
-2.108975,19,78.05017
-3.686817,19,78.142202
-1.621252,13,78.206195
-0.264863,2,78.216598
-4.947307,24,83.278112
-1.29971,13,83.354952
-1.354119,14,83.434047
-1.125235,8,83.482548
-5.40964,42,83.726206
-0.620681,6,83.760518
-2.862279,20,83.877205
-5.200862,38,84.293614
-3.049873,27,84.445089
-3.460636,20,84.563889
-2.134227,20,84.680953
-3.232138,18,84.786187
-2.201283,15,84.87678
-1.227731,10,85.19973
-3.116334,21,85.303004
-4.379568,50,85.550669
-2.893918,15,85.627654
-1.763193,14,85.697231
-3.43273,21,85.802219
-3.02889,24,86.166011
-0.855061,8,86.20681
-5.026937,26,86.336749
-1.292749,8,86.376202
-2.591016,25,86.501462
-2.462616,21,86.60536
-1.415123,14,91.215617
-5.073139,50,91.65451
-1.767286,21,91.759351
-0.720653,5,91.784679
-2.956844,17,91.871368
-4.064521,21,91.975616
-0.913162,5,91.999707
-7.226948,50,92.441472
-1.458279,11,92.495719
-2.739275,14,92.563722
-1.119434,7,92.599772
-0.967147,9,92.644917
-2.083882,20,92.74349
-3.331603,21,92.845823
-3.572959,19,93.118425
-4.175201,21,93.220437
-2.066868,18,93.30943
-0.170691,2,93.31916
-2.061879,18,93.408815
-2.509749,25,93.530873
-1.539669,16,93.609479
-1.875474,15,93.939557
-2.532749,15,94.013354
-5.438557,32,94.171441
-2.662977,30,94.320482
-3.434213,21,94.424967
-4.855364,27,99.342798
-3.757011,20,99.44972
-2.334275,18,99.540207
-4.430006,26,99.670728
-5.35527,50,99.920021
-2.64425,17,100.159331
-1.980749,17,100.242784
-2.401335,15,100.316873
-4.360656,50,100.563665
-0.721732,6,100.593166
-1.916528,21,100.696382
-3.630342,28,101.090742
-1.020708,10,101.139503
-3.964901,26,101.267323
-1.724631,12,101.327445
-1.414377,9,101.371866
-1.070833,12,101.432087
-4.72069,50,101.880643
-0.883859,7,101.915349
-0.848699,6,101.945154
-5.30423,36,102.121784
-4.168602,25,102.245351
-2.549372,15,102.319509
-8.360937,50,107.52473
-1.097616,7,107.561124
-0.987638,12,107.621436
-3.915212,28,107.760389
-0.986227,6,107.790104
-0.362593,3,107.805069
-0.954309,6,107.834677
-2.017305,16,107.914699
-2.758452,19,108.197074
-0.560863,4,108.216873
-2.54092,21,108.320464
-1.367453,12,108.38047
-3.375998,21,108.484254
-1.4226,12,108.544012
-2.470075,18,108.63378
-1.221891,14,108.702751
-2.153612,17,109.016038
-2.477518,21,109.123333
-0.773982,5,109.148081
-6.230029,39,109.341522
-2.331643,13,109.405374
-2.775339,26,109.533628
-3.667993,24,109.834872
-5.783832,34,110.007483
-4.295028,50,110.254668
-0.910884,6,110.284723
-1.883991,12,110.345184
-2.154796,18,110.433919
-4.457381,35,115.443496
-0.827626,5,115.471288
-4.04462,29,115.618464
-1.667831,17,115.702984
-2.564831,17,115.788147
-6.7944,43,116.192932
-3.129719,18,116.281383
-2.479394,17,116.365906
-0.689321,4,116.385607
-3.382089,33,116.548186
-0.867139,5,116.573377
-1.740871,13,116.637292
-4.87138,50,117.053883
-3.566393,19,117.146491
-2.606814,17,117.22965
-4.343119,30,117.385632
-2.601803,22,117.516221
-3.584387,18,117.801844
-5.011946,46,118.030695
-1.125855,8,118.070965
-3.126232,23,118.18439
-5.646532,31,118.336851
-5.801087,38,118.773208
-0.56922,4,118.792483
-5.437092,26,123.446953
-1.791806,18,123.536075
-0.617908,4,123.555961
-0.527922,6,123.585507
-3.18184,17,123.669859
-4.955247,32,124.060896
-2.321965,19,124.154247
-2.438385,23,124.26782
-2.66161,14,124.335845
-2.561756,19,124.429765
-5.056098,43,124.884322
-1.928365,11,124.93952
-4.440904,21,125.044311
-2.197451,14,125.113499
-6.106499,37,125.29836
-2.176832,13,125.362905
-3.74949,22,125.671989
-2.617535,15,125.748189
-4.153289,26,125.877874
-0.826135,5,125.902729
-2.023353,18,125.99295
-4.167869,23,126.107749
-3.028233,16,126.186712
-1.596681,15,126.261435
-4.053573,37,126.643535
-2.102708,12,126.704199
-3.734189,25,131.471007
-1.732863,13,131.536516
-3.403368,22,131.644366
-0.837649,6,131.67446
-2.478038,18,132.02826
-2.409385,17,132.111496
-4.904963,50,132.356588
-2.997694,16,132.434536
-0.562574,8,132.478034
-3.08199,19,132.573573
-1.006087,12,132.812542
-3.294988,21,132.917779
-2.450827,14,132.986309
-3.296941,16,133.068478
-1.463167,15,133.142598
-2.121351,15,133.215519
-0.686844,4,133.235827
-2.022041,15,133.310467
-2.359413,28,133.670329
-0.797888,5,133.695491
-6.16064,50,133.943392
-0.656002,5,133.968268
-3.056313,16,134.047689
-3.089927,18,134.136695
-3.999393,50,134.599541
-5.98891,40,134.798685
-3.440646,26,138.995557
-2.957298,23,139.111405
-2.57866,15,139.358402
-2.113588,18,139.450958
-6.133181,50,139.701042
-1.250715,7,139.736805
-1.549357,11,139.791245
-3.041257,24,139.911655
-0.741078,5,139.937005
-1.9109,16,140.181946
-2.384866,25,140.305741
-2.141181,15,140.380143
-2.601664,15,140.45493
-3.56916,19,140.551025
-1.112845,13,140.615817
-1.776635,16,140.695018
-2.810757,17,140.999563
-0.934547,11,141.0604
-1.667895,18,141.160893
-1.53352,10,141.215622
-3.168677,18,141.315259
-3.042507,20,141.425766
-1.311825,16,141.513328
-2.979291,17,141.608258
-3.086184,17,141.880114
-0.512697,4,141.900226
-2.203855,16,141.978447
-2.013588,16,142.057819
-2.340638,21,142.161045
-0.818739,5,142.185855
-2.037813,13,146.91332
-3.036431,17,147.003012
-1.667573,12,147.066119
-4.346784,23,147.402918
-1.573685,15,147.490822
-1.923798,11,147.553832
-0.913099,6,147.58971
-4.306429,24,147.731294
-3.226337,27,147.885975
-3.516235,18,147.995188
-2.789099,15,148.084591
-3.5737,50,148.545811
-3.859416,28,148.712414
-2.316983,14,148.794374
-1.871865,12,148.863699
-1.124365,11,148.927893
-2.594391,18,149.236923
-1.637092,12,149.307977
-2.927213,17,149.408397
-2.730423,17,149.49582
-4.937881,38,149.683331
-2.624121,17,149.767602
-4.671457,50,150.151661
-3.906512,31,150.304819
-1.303418,12,150.36375
-1.057712,6,150.393761
-0.758686,5,150.419006
-2.490287,16,155.16079
-3.073079,23,155.53891
-2.801569,14,155.609606
-3.47499,17,155.694832
-2.867411,21,155.801793
-2.177639,14,155.870562
-2.49763,16,155.950074
-2.925093,15,156.024568
-1.264801,12,156.084269
-2.243371,17,156.355435
-3.013929,15,156.431945
-2.081644,17,156.517063
-1.430773,13,156.582421
-4.93395,43,156.797854
-0.761253,7,156.833061
-1.355667,12,156.892742
-0.458325,4,156.912767
-2.440244,15,157.224252
-1.694376,14,157.306351
-3.775416,50,157.600921
-2.315026,14,157.684231
-3.436991,20,157.797933
-2.053423,20,157.914358
-0.983553,7,158.088443
-0.686029,4,158.112496
-1.338546,13,158.189104
-1.498744,11,158.252524
-0.712556,5,158.280521
-0.977807,7,158.323231
-3.024587,21,158.444582
-1.441276,12,158.513738
-0.522919,4,158.536996
-3.942567,40,163.373285
-4.654155,50,163.856816
-0.942641,6,163.88709
-2.961351,16,163.967422
-0.577681,4,163.988061
-0.872942,5,164.012592
-0.426199,3,164.027837
-0.776114,5,164.053213
-2.231316,14,164.12244
-4.802786,34,164.467458
-6.327731,50,164.716115
-1.354903,12,164.775633
-4.335121,30,164.928152
-2.141289,15,165.0121
-1.185428,7,165.052551
-3.211191,26,165.446097
-1.197449,9,165.498747
-1.307986,9,165.550991
-1.156768,11,165.615576
-1.713393,12,165.684683
-3.583094,20,165.80181
-1.336024,13,165.876519
-0.663749,5,165.906373
-0.445216,4,165.930712
-3.672816,22,166.21573
-1.178587,9,166.266665
-1.342179,12,166.33602
-0.889116,5,166.364288
-0.590797,5,166.393158
-0.573771,4,166.416728
-3.09736,16,166.508945
-1.793392,20,166.6243
-2.249243,15,166.711069
-0.629049,5,166.740223
-3.184274,31,171.383244
-0.782826,5,171.547709
-0.569176,7,171.584836
-0.483838,4,171.604677
-1.844519,17,171.689342
-5.786991,50,171.937191
-1.895493,12,171.997769
-1.158895,12,172.058674
-0.615137,5,172.083692
-1.051605,6,172.113753
-1.31847,11,172.326319
-3.184548,19,172.423039
-0.934776,6,172.452527
-1.800739,13,172.517259
-3.411176,18,172.608391
-1.78363,12,172.66862
-2.662457,18,172.760145
-0.400899,4,172.780214
-1.167009,12,172.840684
-1.794941,17,172.925791
-2.739247,16,173.224533
-0.888323,5,173.249292
-1.173799,10,173.298028
-1.45089,13,173.362897
-1.528333,15,173.437559
-1.963948,20,173.536907
-5.998801,44,173.754334
-1.694872,14,174.055876
-4.298616,24,174.175649
-1.984874,26,174.304255
-0.657352,5,174.328743
-3.569912,18,174.41762
-2.83753,15,174.491502
-1.739555,16,174.572304
-3.232889,17,179.276025
-0.809655,5,179.302627
-0.873431,5,179.328991
-1.017548,10,179.379971
-2.796982,14,179.448991
-2.903426,19,179.543186
-1.938789,15,179.617486
-1.566066,10,179.667109
-1.371273,10,179.716337
-2.123499,14,179.786318
-2.488342,19,180.048032
-1.094232,9,180.095001
-1.71278,14,180.164676
-1.309771,11,180.218441
-2.184014,14,180.288562
-3.217342,18,180.378893
-2.503376,15,180.45226
-2.794767,16,180.531635
-4.007645,24,180.652174
-0.497156,4,180.811868
-3.513258,50,181.063785
-3.051578,22,181.176544
-0.869556,5,181.201798
-4.369949,27,181.336773
-1.230921,11,181.392939
-2.204701,16,181.728779
-3.572658,20,181.829829
-0.924109,12,181.889061
-2.842924,16,181.967379
-0.551779,4,181.987163
-1.521846,12,182.047261
-5.462893,36,182.225407
-1.72374,23,182.560166
-2.590591,15,187.251542
-3.628778,50,187.504914
-1.215587,7,187.540411
-2.692936,18,187.627981
-1.374016,15,187.703658
-1.46651,11,187.759299
-2.809712,17,188.018718
-2.655189,16,188.098316
-1.570564,13,188.161674
-3.651345,20,188.259176
-3.595163,23,188.371173
-2.816764,22,188.479319
-0.743209,5,188.503714
-2.935982,17,188.822639
-3.1823,16,188.903288
-1.453155,14,188.972504
-2.672497,18,189.061786
-3.870701,25,189.186812
-1.35846,11,189.241089
-1.564112,14,189.310266
-2.095643,12,189.369192
-2.553385,13,189.621423
-2.686614,14,189.692539
-4.12229,28,189.830623
-1.858344,16,189.910695
-5.528196,39,190.106947
-2.457537,18,190.196736
-3.987349,20,190.438928
-1.751183,15,195.126199
-1.931432,12,195.190354
-0.294036,3,195.20556
-1.72009,12,195.265133
-1.327646,12,195.324403
-2.547996,16,195.403726
-1.004968,12,195.462796
-3.223032,20,195.562143
-2.348329,16,195.81702
-2.668333,25,195.941201
-4.068758,22,196.051943
-3.044022,17,196.136649
-1.086093,10,196.185495
-2.733159,16,196.26441
-2.174161,19,196.35714
-0.818797,5,196.38173
-1.207383,8,196.569021
-2.109521,16,196.651342
-0.921077,9,196.69642
-2.036494,14,196.764817
-0.456937,4,196.784845
-0.714103,4,196.80478
-2.341192,13,196.869618
-1.532239,11,196.9241
-2.35182,21,197.030111
-0.310377,3,197.045038
-1.180863,12,197.104592
-1.814392,11,197.158275
-1.16578,12,197.379765
-4.973867,32,197.53873
-1.159375,9,197.583244
-4.61562,27,197.717157
-2.677728,16,197.7964
-1.280704,9,197.841426
-3.286481,16,197.91975
-2.613262,19,198.221879
-1.778071,14,198.291114
-1.040193,5,198.316242
-0.844988,5,198.340899
-5.483914,37,203.21287
-3.167487,20,203.311619
-1.509695,12,203.371182
-0.931845,6,203.401971
-1.948296,12,203.462104
-2.597557,24,203.726216
-2.947314,17,203.810744
-1.196521,10,203.860466
-1.429572,10,203.9105
-0.346535,4,203.93096
-0.533855,4,203.950987
-0.580255,4,203.970925
-2.240203,18,204.059296
-3.782982,20,204.157634
-1.738091,13,204.221807
-2.961687,26,204.525257
-1.18747,11,204.580168
-0.840268,9,204.624561
-0.652616,5,204.6488
-1.649959,11,204.703209
-3.069036,17,204.787358
-1.217082,11,204.84248
-1.64038,14,204.914117
-4.58693,32,205.247738
-3.135479,21,205.352181
-0.97859,6,205.381844
-0.556728,4,205.401706
-1.04684,5,205.426954
-1.254831,9,205.47171
-1.256062,13,205.53633
-2.072408,15,205.611648
-0.89876,5,205.636858
-1.985591,12,205.695965
-1.382379,11,205.750543
-1.980796,16,205.829399
-0.778835,6,205.980612
-1.718056,13,206.045518
-4.045539,25,206.170991
-0.406967,4,206.190773
-3.605393,23,210.899417
-1.725906,12,210.959919
-0.846245,8,210.999597
-2.671705,16,211.078256
-0.541221,5,211.103405
-4.065756,26,211.440492
-2.164407,17,211.525349
-1.713936,14,211.594489
-6.198513,50,211.843473
-4.766633,33,212.236498
-0.488923,4,212.256501
-0.483956,3,212.273447
-1.728144,14,212.342683
-2.562022,16,212.422909
-3.790013,20,212.524215
-1.518344,16,212.604557
-2.884969,15,212.678841
-1.344663,14,212.748586
-0.185055,2,212.758824
-2.095445,13,212.823642
-2.214331,16,213.062052
-1.486,15,213.136339
-3.292905,18,213.225044
-4.353475,50,213.47262
-3.092318,16,213.552623
-1.601015,15,213.633471
-1.275112,12,213.841913
-3.450542,21,213.946237
-2.727716,17,214.032044
-0.66464,4,214.051645
-1.779542,15,218.799005
-0.99437,9,218.847827
-2.362202,16,218.929472
-1.467839,12,218.989214
-1.872248,11,219.043739
-2.017595,13,219.292689
-2.370987,16,219.373934
-2.067543,15,219.447389
-3.455765,18,219.536696
-1.379334,12,219.596223
-2.186151,15,219.670505
-0.984399,10,219.719716
-3.345761,18,219.808667
-1.09622,13,219.87312
-2.720714,16,220.096601
-2.495513,16,220.177448
-0.765421,5,220.202052
-1.273509,11,220.257024
-1.547247,11,220.31218
-1.362803,11,220.366444
-1.870041,13,220.431284
-1.843211,16,220.510483
-0.49569,4,220.530811
-1.255601,12,220.591451
-2.643542,16,220.807326
-0.663695,4,220.82852
-0.571764,4,220.849518
-3.31148,20,220.94886
-3.460982,39,221.140973
-4.091998,22,221.252692
-4.318016,32,221.409865
-1.265944,10,221.631034
-3.367677,20,221.730167
-2.415574,33,221.894891
-3.219214,18,226.525957
-0.482611,4,226.548925
-2.80552,15,226.628953
-2.900368,15,226.703925
-4.161652,22,226.965701
-0.650605,4,226.985418
-2.007073,14,227.055522
-1.342405,10,227.114516
-0.934591,9,227.166411
-0.528966,4,227.18893
-2.165683,15,227.276035
-2.747098,13,227.351698
-1.019181,6,227.388156
-0.951799,6,227.424875
-4.483891,24,227.54741
-0.602914,5,227.572531
-0.498275,4,227.592454
-5.509854,50,227.969582
-2.107751,13,228.033965
-0.655132,5,228.058522
-2.737125,22,228.168606
-1.103553,12,228.22901
-3.517552,25,228.353984
-0.786959,4,228.533202
-0.502741,4,228.554877
-3.730668,21,228.658044
-2.732238,16,228.737205
-0.500161,4,228.758117
-1.214362,10,228.808323
-1.031225,6,228.838398
-2.252367,14,228.907616
-0.898995,5,228.932886
-2.858496,15,229.008054
-5.757234,50,229.387762
-1.474148,10,229.437114
-1.716516,11,229.491454
-4.196552,19,229.585671
-1.613556,10,229.63654
-1.685431,16,234.223986
-0.902212,9,234.272533
-2.812387,16,234.353549
-3.564006,19,234.597679
-0.394937,3,234.612829
-0.388268,3,234.627811
-1.613824,13,234.693612
-2.916131,16,234.775958
-0.895103,5,234.801439
-3.896892,20,234.904852
-1.898119,14,234.98321
-0.9158,5,235.012808
-1.770154,12,235.077173
-2.31678,21,235.182301
-1.300327,11,235.394702
-1.197788,8,235.436505
-1.995437,14,235.505611
-1.260137,12,235.564677
-0.820353,6,235.594033
-2.013675,15,235.66814
-2.680569,16,235.748618
-3.072606,18,235.837616
-1.157232,9,235.882458
-0.292322,3,235.8975
-0.796036,5,235.922857
-3.516387,22,236.168559
-1.855891,14,236.238122
-1.613454,17,236.322723
-3.180166,16,236.403022
-3.308823,18,236.491345
-1.200917,10,236.540468
-3.443109,19,236.635247
-3.731288,20,236.735096
-1.380049,13,236.935808
-1.580411,11,236.991742
-3.490053,50,237.24183
-0.770062,5,237.267377
-1.74225,11,237.323105
-2.831742,16,241.915602
-3.03072,16,241.999002
-3.877559,20,242.272797
-2.884677,18,242.362789
-4.10322,50,242.612416
-0.595748,4,242.632773
-2.033561,16,242.712312
-1.033489,6,242.742281
-4.116865,22,242.978281
-2.843797,15,243.052387
-0.841049,5,243.077786
-2.162726,13,243.14379
-2.002499,14,243.213214
-1.661513,12,243.273943
-0.355213,4,243.294448
-1.855907,12,243.353823
-1.078057,9,243.39793
-3.595723,18,243.489322
-0.643305,4,243.508339
-2.723734,16,243.739775
-0.47912,4,243.760303
-4.849738,37,243.943413
-2.27418,18,244.033454
-3.102857,20,244.133037
-1.180205,10,244.183272
-2.186983,14,244.255079
-2.366194,15,244.329602
-2.672372,15,244.527553
-0.459514,4,244.547456
-0.756898,4,244.566738
-0.272697,3,244.581683
-1.454458,12,244.641654
-2.0526,16,244.720661
-2.502361,14,244.789503
-3.632648,20,244.890869
-3.085357,18,244.981967
-0.514955,4,245.001887
-1.667028,12,249.438895
-3.244822,20,249.668689
-4.357708,29,249.812075
-2.422775,16,249.891904
-0.364939,3,249.906993
-0.677984,5,249.931613
-0.844919,6,249.961545
-3.846311,19,250.05607
-1.080265,10,250.105532
-2.20279,14,250.174677
-2.391896,14,250.400399
-0.617145,4,250.421055
-2.048976,13,250.484929
-3.293817,17,250.568837
-5.605512,44,250.786816
-1.171726,10,250.836665
-1.725764,12,250.896782
-2.275575,15,250.972398
-1.152194,9,251.21499
-0.693713,4,251.236098
-1.677843,12,251.296894
-1.672166,12,251.35706
-0.402222,3,251.374783
-0.42309,3,251.390351
-3.904915,50,251.639027
-1.872636,17,251.723047
-2.368433,20,251.822798
-2.790441,20,252.056895
-2.380183,17,252.140862
-1.651969,11,252.195735
-3.958996,23,252.308379
-0.921319,5,252.333109
-2.723935,16,252.411857
-3.832345,19,252.505807
-1.906038,12,254.578609
-2.720303,15,254.865631
-2.58144,14,254.939587
-2.68762,24,255.058982
-1.603458,12,255.117977
-1.205106,10,255.16836
-1.065868,11,255.233022
-0.99625,5,255.257018
-0.963715,5,255.282226
-5.774456,50,255.677794
-3.135442,15,255.753232
-1.468601,12,255.81208
-0.778595,5,255.836376
-3.360165,17,255.92039
-0.844375,5,255.944714
-1.301576,13,256.008976
-3.582194,21,256.113113
-1.470833,11,256.167039
-0.672874,5,256.191394
-0.846057,9,256.386292
-0.311599,3,256.401159
-0.721999,5,256.425743
-1.331493,11,256.480048
-3.000038,15,256.554822
-2.709094,18,256.643892
-2.780045,17,256.727198
-2.628024,16,256.806004
-1.245024,10,256.854736
-1.061272,6,256.884402
-3.062992,16,256.963231
-1.316357,9,257.254969
-1.867415,13,257.318865
-1.348461,10,257.368506
-0.785736,9,257.412473
-3.940104,20,257.511977
-1.921436,13,257.576445
-2.534727,13,257.642711
-2.141875,13,257.706851
-0.528145,4,257.727018
-0.313312,3,257.742154
-3.225133,17,257.825243
-0.964475,5,258.004514
-2.447581,15,262.653198
-4.532679,21,262.760567
-1.02332,5,262.785549
-3.340852,17,262.870481
-1.679188,13,262.93558
-0.988199,5,262.960522
-2.089971,14,263.029855
-2.268989,16,263.11052
-0.614182,4,263.130262
