#{"t_start": 1660902516.2141106, "env_id": "DobotReachDense-v0"}
r,l,t
-2.815602,22,122.831295
-3.932114,23,122.94705
-5.828529,42,123.154314
-3.795934,23,123.501157
-2.339603,13,123.56463
-2.523871,23,123.678547
-2.743699,16,123.756603
-2.118248,14,123.82582
-4.576913,30,123.97276
-1.30537,8,124.01195
-4.428147,24,124.374633
-1.657949,17,124.459306
-3.414445,19,124.554096
-0.824531,7,124.589518
-4.633614,31,124.743471
-0.34549,3,124.758211
-0.497177,5,124.783087
-1.786906,23,125.096097
-0.735953,4,125.118142
-1.991244,16,125.19833
-1.239267,12,125.258398
-2.474331,17,125.343142
-5.420534,50,125.592207
-3.957867,21,125.69646
-1.717116,10,125.943086
-3.856026,25,126.068693
-3.904327,30,130.859552
-1.190006,13,130.926841
-1.233029,7,130.961508
-1.740484,10,131.010745
-2.015913,16,131.089946
-3.602829,21,131.457832
-2.863263,18,131.546445
-0.886808,10,131.595177
-2.057496,22,131.702378
-3.070345,16,131.781951
-1.32195,15,131.854981
-4.986039,28,131.998999
-6.046234,50,132.426636
-1.413959,11,132.481045
-3.876338,22,132.5925
-2.703422,24,132.711232
-0.710668,5,132.735863
-3.508991,20,132.833759
-0.898558,6,133.084134
-1.094018,9,133.130501
-2.641067,23,133.245843
-1.729149,13,133.310003
-1.550564,11,133.363382
-1.455806,12,133.42378
-1.625371,12,133.482736
-2.891948,18,133.57157
-0.338435,3,133.58692
-2.696374,21,133.691606
-2.211362,19,134.000468
-3.59639,17,134.085138
-2.758891,16,134.164474
-2.624931,14,134.232992
-3.116051,17,138.384018
-0.349847,4,138.404562
-1.242863,10,138.455707
-3.110352,32,138.788114
-1.629734,10,138.840727
-2.798414,21,138.946718
-2.139756,11,139.001608
-2.35049,13,139.066323
-3.304226,24,139.186934
-3.175555,18,139.276312
-1.365447,10,139.32678
-2.277903,19,139.586594
-3.301998,19,139.681222
-1.030253,6,139.711077
-2.061774,17,139.79517
-3.4356,21,139.900397
-2.291252,15,139.976138
-1.356578,14,140.045507
-2.886522,28,140.185383
-0.56446,4,140.422602
-2.717945,20,140.532187
-2.178406,20,140.643728
-2.087962,13,140.717208
-4.273374,50,140.994678
-6.547571,50,141.43345
-3.849802,25,141.556547
-2.465873,15,141.631065
-4.067479,50,146.558716
-1.964796,27,146.918971
-2.06297,13,146.994461
-1.137635,13,147.07214
-0.815692,10,147.131048
-5.302176,50,147.423415
-2.506939,15,147.512686
-1.203253,9,147.731393
-1.562072,11,147.795615
-2.767378,17,147.895636
-3.762274,50,148.194551
-1.40161,13,148.269383
-4.342353,50,148.766623
-0.518966,4,148.790027
-1.071998,6,148.825489
-4.51697,26,148.960283
-2.243259,18,149.049031
-0.485877,4,149.068728
-3.770766,21,149.172795
-3.268603,29,149.452106
-3.996787,21,149.557226
-2.108513,18,149.646338
-3.358251,21,149.749989
-1.456179,15,149.82416
-0.545419,4,149.844111
-3.0309,18,154.595385
-1.191218,12,154.65835
-1.453633,11,154.973597
-3.520697,19,155.070056
-0.582994,4,155.089967
-0.473271,4,155.109801
-2.499108,13,155.176401
-3.650351,32,155.335393
-3.333705,21,155.440063
-3.703244,33,155.790299
-2.366403,16,155.872282
-1.661091,13,155.93693
-1.272108,12,155.997686
-2.613808,20,156.097601
-1.920864,15,156.172527
-4.000404,21,156.278322
-0.812472,6,156.308028
-0.412443,3,156.322945
-3.344514,19,156.652379
-3.168884,19,156.763178
-4.310238,31,156.945105
-3.105591,15,157.035408
-1.889974,13,157.11195
-2.348537,12,157.179701
-1.667004,13,157.256137
-1.517142,14,157.337403
-1.156098,11,157.535145
-1.912181,17,157.635761
-3.077132,17,157.733019
-0.896424,9,157.785814
-0.964901,5,157.814
-1.133991,12,157.885287
-1.773289,13,157.960524
-1.728988,13,158.035352
-0.412329,4,158.05946
-0.478407,4,158.081778
-3.048675,21,162.807999
-4.61497,28,163.183704
-1.021733,11,163.237536
-1.164384,10,163.286928
-5.230592,37,163.47313
-3.856678,27,163.606968
-2.594418,16,163.686069
-2.6494,24,163.982255
-1.769502,12,164.041455
-1.362031,10,164.090724
-0.19069,2,164.101084
-2.358961,15,164.176183
-3.104972,21,164.280563
-0.47505,4,164.300878
-1.32586,12,164.362978
-2.686663,15,164.446508
-2.349398,13,164.763532
-0.314684,3,164.781743
-1.168155,7,164.821967
-1.983866,14,164.904185
-1.32767,11,164.968823
-0.727041,5,164.997433
-0.574768,5,165.027047
-2.805498,15,165.113341
-1.222052,11,165.177716
-2.066938,16,165.271264
-1.531124,11,165.334464
-1.085347,6,165.371328
-2.424882,22,165.656014
-0.864351,8,165.700999
-0.38235,3,165.718917
-0.950504,6,165.752746
-2.320042,14,165.833871
-2.536827,18,165.937973
-5.99496,50,166.224984
-1.347045,12,166.292122
-2.920375,16,170.988069
-2.163977,15,171.064907
-2.271789,19,171.159429
-1.299983,11,171.214086
-2.520733,13,171.278705
-2.818978,21,171.382637
-3.303116,17,171.467962
-3.481242,20,171.56946
-1.038148,7,171.761196
-4.810299,31,171.916902
-2.774768,17,172.003278
-2.97223,21,172.108923
-1.106706,9,172.153985
-1.920899,22,172.265974
-2.150661,12,172.32616
-1.736797,11,172.597521
-2.602547,16,172.679613
-2.28948,13,172.743327
-2.128001,13,172.808161
-3.908584,50,173.057397
-3.058916,17,173.140644
-2.341733,14,173.209275
-2.270914,14,173.51107
-2.559423,18,173.600587
-3.60828,50,173.847513
-0.785424,5,173.872744
-1.772079,12,173.932041
-2.250129,14,174.002247
-1.899681,16,178.697238
-2.659851,16,178.784626
-2.27952,16,178.864
-2.984914,16,178.943521
-1.416527,11,178.998507
-1.119535,14,179.06827
-4.634505,31,179.221383
-0.641269,5,179.246225
-1.993856,13,179.311031
-1.703342,11,179.535327
-2.675563,18,179.624703
-1.987344,11,179.678597
-4.052569,23,179.793587
-2.161241,16,179.872258
-3.799131,19,179.966711
-1.205178,14,180.037604
-1.331358,10,180.08705
-0.891122,5,180.252233
-3.190473,50,180.504127
-1.628126,10,180.555053
-1.649879,11,180.611572
-3.679846,21,180.717425
-2.502912,15,180.792415
-2.429279,15,180.868208
-1.894035,13,181.188924
-0.640432,5,181.215318
-4.123631,50,181.462675
-3.089315,17,181.546865
-1.482059,11,181.601115
-3.585383,20,181.700174
-3.780879,25,186.656012
-0.571505,4,186.681031
-1.145012,11,186.738486
-1.181446,6,186.769276
-0.57346,5,186.794104
-0.464665,4,186.815009
-2.126849,13,186.879707
-3.895521,20,186.98067
-2.864255,14,187.048877
-3.9756,26,187.179233
-1.450901,12,187.412234
-1.54157,13,187.479154
-5.777797,49,187.718485
-1.619205,11,187.772207
-4.344592,50,188.252162
-2.853573,15,188.328469
-1.294994,10,188.377723
-3.613522,22,188.487113
-0.910844,5,188.511796
