#{"t_start": 1660902516.772886, "env_id": "DobotReachDense-v0"}
r,l,t
-17.514491,50,1.815176
-9.058037,50,2.058031
-11.05628,50,2.85989
-12.985747,50,3.104327
-13.357065,50,3.347559
-16.778334,50,4.206958
-8.598081,50,4.506764
-8.82274,50,5.457807
-14.807344,50,5.740632
-7.131412,50,5.996195
-9.206063,50,11.429013
-11.771778,50,11.675987
-1.673193,11,11.731562
-13.524551,50,12.570887
-11.235104,50,12.816858
-5.206923,50,13.622134
-10.349668,50,13.874585
-1.942506,15,13.95221
-14.884645,50,14.947563
-0.785905,5,14.974021
-11.669857,50,15.219579
-13.807599,50,15.465853
-8.465999,50,19.954467
-2.619059,19,20.048862
-6.865141,50,20.294297
-7.830737,50,21.005208
-2.298957,14,21.073466
-7.026602,50,21.318109
-6.884876,50,22.157883
-0.681139,5,22.182477
-11.809764,50,22.426251
-9.423172,50,22.670875
-11.142559,50,23.503599
-16.519551,50,23.746423
-12.168373,50,24.592566
-7.14851,50,29.458477
-13.971087,50,29.707279
-5.550141,39,30.411367
-8.928721,50,30.657555
-9.45469,50,31.412365
-6.938922,50,31.655718
-6.919483,50,31.90629
-4.723868,46,32.673296
-8.56398,50,32.920808
-7.161352,50,33.747094
-5.275184,39,33.940085
-0.295758,3,33.95465
-10.14167,50,38.417885
-7.510147,50,39.213269
-3.714069,29,39.355892
-8.854024,50,39.599766
-9.190274,50,40.29203
-4.118614,32,40.450742
-7.477961,50,40.698644
-9.876079,50,41.417576
-2.913072,22,41.524926
-11.849278,50,41.768014
-7.852129,43,42.533788
-7.418752,50,47.371785
-0.410527,3,47.388306
-2.895936,25,47.512449
-2.470684,20,47.618007
-7.52007,42,48.327611
-8.008765,50,48.575153
-2.068798,15,48.649291
-9.009408,50,49.408655
-4.563775,26,49.537344
-2.622132,20,49.635888
-1.816807,16,49.71531
-8.924865,50,50.517561
-5.377014,42,50.72414
-10.43775,50,50.966812
-2.125426,16,51.046292
-8.870857,49,51.73559
-2.746106,22,51.842601
-4.254541,24,56.647884
-6.344176,50,57.231726
-6.325814,50,57.479361
-1.402127,12,57.53904
-2.942947,25,57.661763
-6.238183,50,58.250677
-2.462695,19,58.343886
-4.56736,37,58.528449
-2.541426,17,58.611337
-5.30876,50,59.25761
-9.478474,50,59.503318
-6.631895,50,60.167374
-8.16204,50,60.420814
-2.267504,19,60.514807
-10.33109,50,65.38439
-4.68018,29,65.884396
-5.802808,38,66.091206
-6.289788,46,66.360614
-4.963447,39,66.898721
-4.849377,50,67.19324
-1.519801,12,67.263867
-0.828906,5,67.293844
-1.749091,13,67.367334
-1.712991,17,67.466638
-2.35562,17,67.850035
-0.973095,8,67.898144
-9.877028,50,68.188846
-1.327641,8,68.233386
-3.663737,26,68.383852
-6.393116,36,68.908931
-4.812349,29,69.075331
-2.602284,17,69.177481
-5.531401,50,73.768326
-3.808822,17,74.086667
-2.443621,21,74.191019
-4.316003,28,74.32857
-4.081553,41,74.532432
-3.73618,24,74.652711
-0.81792,5,74.6772
-0.578957,4,74.925475
-3.892826,39,75.120692
-5.056056,41,75.325428
-7.025211,50,75.761022
-3.304558,26,75.888378
-5.227769,50,76.13527
-4.810234,40,76.331111
-2.858275,22,76.693464
-3.86116,27,76.824907
-0.665216,4,76.84474
-2.967064,17,76.927835
-5.027903,28,77.064638
-2.175825,17,81.797114
-5.531201,34,82.274647
-4.120445,20,82.395284
-5.596793,45,82.6553
-2.435172,18,82.760784
-1.606629,12,82.830384
-0.298361,3,82.847164
-2.352108,24,83.181901
-2.407763,19,83.287236
-0.837471,6,83.32258
-3.283795,21,83.447545
-7.785033,50,83.742456
-7.176316,50,84.263562
-4.696628,39,84.459553
-5.317029,50,84.953322
-0.586784,4,84.973892
-4.403992,23,85.089739
-2.376613,15,85.163904
-4.684756,28,85.304676
-4.877404,50,90.092643
-0.713431,4,90.303043
-3.441164,27,90.437966
-4.933818,50,90.687763
-2.950863,23,90.804029
-3.249431,19,90.897142
-4.391682,24,91.210961
-4.337446,22,91.318978
-2.397003,19,91.412395
-3.836124,26,91.542617
-6.699808,50,91.966162
-0.712269,5,91.991064
-4.286195,50,92.236725
-0.901551,6,92.266679
-4.700998,28,92.403605
-6.130133,50,92.906212
-3.327111,33,93.068974
-4.107903,20,93.16837
-2.049987,15,93.242543
-2.630501,24,93.361643
-6.200986,50,98.402713
-3.18847,19,98.498207
-2.224201,25,98.623306
-3.443097,26,98.751657
-1.321526,11,98.808286
-1.993143,17,99.047106
-4.275872,44,99.263877
-3.77302,21,99.367921
-3.189866,33,99.529964
-6.645294,36,99.963345
-5.223981,41,100.165174
-1.53635,16,100.244542
-3.587159,34,100.412986
-1.656486,15,100.687885
-0.929938,6,100.71797
-0.664035,5,100.742729
-1.421018,12,100.803409
-1.241485,8,100.842934
-1.573517,17,100.925122
-1.995433,20,101.024292
-3.637112,21,101.128248
-3.358258,20,101.226582
-0.845778,5,101.251016
-5.919892,49,106.454638
-1.225817,7,106.489321
-3.988722,50,106.73752
-2.828674,14,106.807497
-5.030308,30,107.144292
-3.440302,21,107.248208
-0.956121,5,107.273422
-2.81271,20,107.37193
-4.641145,50,107.62037
-0.634652,4,107.640306
-2.015073,18,107.960818
-1.111444,7,107.995835
-6.874381,50,108.244174
-3.457322,20,108.341964
-5.18681,50,108.775368
-0.562712,4,108.795527
-2.185548,23,108.910431
-1.659577,12,108.96946
-2.924637,16,109.049428
-3.001962,20,109.147763
-0.316208,3,109.162469
-3.958926,21,109.267127
-1.324704,12,109.4953
-4.547807,50,114.416113
-0.650461,5,114.441986
-3.559261,18,114.530548
-6.238518,48,114.769197
-1.076666,7,114.995077
-0.49446,4,115.015983
-1.729286,16,115.095639
-2.26572,14,115.164485
-2.697602,27,115.297955
-3.760782,27,115.431145
-1.283073,11,115.486242
-5.179693,39,115.84662
-0.563159,5,115.871614
-4.846914,28,116.009517
-3.882779,26,116.137191
-1.475867,11,116.191828
-2.800228,20,116.304939
-3.692109,23,116.628465
-0.793371,5,116.654158
