#{"t_start": 1653316015.1556995, "env_id": "TrajectoryGenerationURSim-v0"}
r,l,t,final_status,is_success
-1.163948,33,374.781329,collision,False
-1.306288,115,1149.137758,collision,False
-1.391431,63,1594.841749,collision,False
-1.155024,44,1865.371812,collision,False
-1.360394,64,2180.894267,collision,False
-1.175974,37,2369.082268,collision,False
-1.135262,36,2646.247056,collision,False
-1.199143,42,2961.07754,collision,False
-1.173134,29,3230.558966,collision,False
-1.089602,34,3481.554272,collision,False
-1.433213,120,4304.535713,collision,False
-1.429528,300,5467.959586,max_steps_exceeded,False
-1.923305,233,6620.540757,collision,False
-1.585476,300,8674.827948,max_steps_exceeded,False
-1.505013,300,9972.513841,max_steps_exceeded,False
-1.412008,112,10318.868429,collision,False
-2.044601,172,10830.189958,collision,False
-1.420317,300,12081.070387,max_steps_exceeded,False
-1.330931,83,12406.905515,collision,False
-1.029575,300,14623.862694,max_steps_exceeded,False
-1.377258,300,15537.724141,max_steps_exceeded,False
-1.368229,300,16722.208204,max_steps_exceeded,False
-1.120869,300,17889.769897,max_steps_exceeded,False
1.979281,13,17939.04546,success,True
-1.542938,300,19812.251436,max_steps_exceeded,False
-2.277381,275,20966.25247,collision,False
-1.047934,300,21792.04774,max_steps_exceeded,False
-1.102505,300,23071.66205,max_steps_exceeded,False
-1.265766,300,24874.062408,max_steps_exceeded,False
-0.920684,300,26066.27421,max_steps_exceeded,False
-2.182983,270,27211.411345,collision,False
-1.35076,300,28059.672782,max_steps_exceeded,False
1.988433,9,28099.845727,success,True
-1.251278,300,30169.200361,max_steps_exceeded,False
-1.336628,92,30464.355843,collision,False
-0.773418,300,31701.390929,max_steps_exceeded,False
-0.612658,300,32502.799604,max_steps_exceeded,False
-1.087673,32,32580.245531,collision,False
-1.639745,300,33821.171402,max_steps_exceeded,False
-1.209684,300,35579.210608,max_steps_exceeded,False
-0.829196,300,36744.945076,max_steps_exceeded,False
1.952299,30,36846.772728,success,True
-0.744357,300,38106.776391,max_steps_exceeded,False
-0.820795,300,38990.525975,max_steps_exceeded,False
-1.155518,300,41026.442254,max_steps_exceeded,False
1.778107,93,41291.382421,success,True
-1.099476,300,42473.734386,max_steps_exceeded,False
-0.735064,300,43316.992657,max_steps_exceeded,False
1.909742,62,43524.57514,success,True
-1.608873,214,44539.003565,collision,False
-1.659203,300,46297.697955,max_steps_exceeded,False
1.58911,146,47062.987582,success,True
-1.45669,300,47934.43258,max_steps_exceeded,False
-0.960676,300,49260.404939,max_steps_exceeded,False
-1.491334,300,50103.198376,max_steps_exceeded,False
-1.186842,68,50335.819185,collision,False
1.999166,2,50377.605195,success,True
-0.581714,300,52446.692003,max_steps_exceeded,False
-1.026842,300,53663.148362,max_steps_exceeded,False
-0.949578,300,54505.579374,max_steps_exceeded,False
-0.855992,300,55780.22833,max_steps_exceeded,False
-1.306804,134,56879.956184,collision,False
-1.095866,300,58187.483221,max_steps_exceeded,False
-1.166509,84,58475.511542,collision,False
1.923363,54,58666.356513,success,True
1.956411,38,58806.166548,success,True
-1.333298,195,59425.74413,collision,False
1.925556,63,59604.798937,success,True
