#{"t_start": 1653316040.471574, "env_id": "TrajectoryGenerationURSim-v0"}
r,l,t,final_status,is_success
-1.362695,59,572.35652,collision,False
-1.077997,22,702.940956,collision,False
-1.266232,81,1242.034108,collision,False
-1.351629,75,1713.334781,collision,False
-1.216814,68,2033.078688,collision,False
-1.266311,53,2400.761671,collision,False
-1.182971,52,2797.046176,collision,False
-1.171456,34,3080.367499,collision,False
-1.42288,60,3528.993802,collision,False
-1.218999,102,4232.773517,collision,False
-1.072877,29,4402.905821,collision,False
-1.396501,125,4849.084072,collision,False
-1.671927,244,5798.713684,collision,False
-2.153782,287,8065.593417,collision,False
-1.324822,300,9384.013956,max_steps_exceeded,False
-1.307638,98,9705.289027,collision,False
-1.403104,107,10122.837659,collision,False
-1.834754,300,11413.26341,max_steps_exceeded,False
-1.792735,300,12297.066759,max_steps_exceeded,False
-1.127385,300,14533.194082,max_steps_exceeded,False
-1.446088,300,15445.096039,max_steps_exceeded,False
-1.299829,300,16628.752961,max_steps_exceeded,False
-1.20765,300,17800.016318,max_steps_exceeded,False
-0.86137,300,19658.238657,max_steps_exceeded,False
-1.423224,72,19890.010895,collision,False
-1.478183,300,21102.573701,max_steps_exceeded,False
-1.512289,300,21951.033359,max_steps_exceeded,False
-1.435768,300,23225.859569,max_steps_exceeded,False
-1.336725,300,25377.463078,max_steps_exceeded,False
-1.55391,300,26200.299778,max_steps_exceeded,False
-1.228368,300,27503.174449,max_steps_exceeded,False
-0.84809,300,28389.264136,max_steps_exceeded,False
-1.528059,139,29085.652672,collision,False
-1.298222,79,30171.039223,collision,False
-1.585607,300,31053.983476,max_steps_exceeded,False
-0.697152,300,32242.495296,max_steps_exceeded,False
1.974346,14,32290.297546,success,True
-1.441424,188,32820.255724,collision,False
1.74699,120,33536.570054,success,True
-1.389323,201,34095.499126,collision,False
-2.156199,268,35754.435178,collision,False
-2.15041,296,36935.90247,collision,False
-1.192477,300,38188.801358,max_steps_exceeded,False
-1.336434,300,39090.474328,max_steps_exceeded,False
-0.874612,300,41097.521225,max_steps_exceeded,False
-1.18386,300,41933.03086,max_steps_exceeded,False
-1.021129,8,41961.836837,collision,False
-1.090271,40,42405.962018,collision,False
-1.406185,300,43254.561473,max_steps_exceeded,False
1.949675,27,43351.798234,success,True
-1.397561,156,43881.727635,collision,False
-1.028917,8,43916.386894,collision,False
-1.078452,300,46018.584923,max_steps_exceeded,False
1.316981,247,47069.986086,success,True
-1.748712,300,47951.219849,max_steps_exceeded,False
1.865012,83,48268.611191,success,True
-2.144426,279,49434.239992,collision,False
-0.960566,300,50333.046729,max_steps_exceeded,False
-0.560773,300,52399.734315,max_steps_exceeded,False
-1.064336,300,53613.565611,max_steps_exceeded,False
-0.86635,300,54463.123016,max_steps_exceeded,False
1.534265,187,55386.411634,success,True
1.778735,114,55736.253608,success,True
1.856215,52,55923.002434,success,True
1.98167,10,55962.787863,success,True
1.94897,42,56755.895642,success,True
1.972027,18,56808.746583,success,True
-1.642787,300,58104.035989,max_steps_exceeded,False
-0.780334,300,59119.895313,max_steps_exceeded,False
1.97524,12,59179.242008,success,True
1.970537,22,59243.44783,success,True
-1.226921,121,59624.667821,collision,False
1.91118,53,60147.267245,success,True
1.986361,11,60214.965792,success,True
