#{"t_start": 1653315974.672904, "env_id": "TrajectoryGenerationURSim-v0"}
r,l,t,final_status,is_success
-1.249526,89,810.110066,collision,False
-1.371532,59,1162.499017,collision,False
-1.163361,53,1500.870645,collision,False
-1.549499,112,2144.350336,collision,False
-1.181512,42,2378.045891,collision,False
-1.125787,46,2817.946716,collision,False
-1.122583,40,3112.424091,collision,False
-1.356401,300,4842.050303,max_steps_exceeded,False
-0.832504,300,6330.452859,max_steps_exceeded,False
-1.672803,147,6776.961017,collision,False
-1.612979,189,8398.049065,collision,False
-1.256429,68,8675.818341,collision,False
-1.39315,108,9340.928149,collision,False
-1.423735,168,9891.312539,collision,False
-1.151838,300,10814.673652,max_steps_exceeded,False
-1.155062,66,11425.626627,collision,False
-0.813253,300,12311.125154,max_steps_exceeded,False
1.993261,7,12345.843429,success,True
-1.079666,25,12476.656342,collision,False
-0.770816,300,14688.268268,max_steps_exceeded,False
-1.902675,274,15472.509988,collision,False
-1.687604,300,16667.361251,max_steps_exceeded,False
-1.074369,300,17838.396981,max_steps_exceeded,False
-1.292095,300,19693.885551,max_steps_exceeded,False
-1.337343,300,20959.145299,max_steps_exceeded,False
-0.991343,300,21778.736125,max_steps_exceeded,False
-1.130666,50,21936.084166,collision,False
-1.249071,300,23218.78938,max_steps_exceeded,False
-1.752097,171,24639.817155,collision,False
-1.230898,300,25838.237248,max_steps_exceeded,False
-0.87574,300,26693.691767,max_steps_exceeded,False
-1.508732,101,27407.470097,collision,False
-1.265606,114,27712.654954,collision,False
-1.792983,220,28398.00135,collision,False
-1.466063,116,29046.977243,collision,False
1.915573,45,29185.020706,success,True
-1.224532,300,30877.550127,max_steps_exceeded,False
-1.360317,300,32094.339153,max_steps_exceeded,False
-1.630704,300,32960.280027,max_steps_exceeded,False
-1.197633,300,34179.901566,max_steps_exceeded,False
-0.77143,300,36261.75955,max_steps_exceeded,False
-1.322486,128,36615.308592,collision,False
-0.924929,300,37467.775925,max_steps_exceeded,False
1.1446,273,38645.648161,success,True
1.986238,12,38687.884765,success,True
-1.061169,300,39916.927979,max_steps_exceeded,False
1.87266,61,40884.88413,success,True
-1.008693,300,41730.277379,max_steps_exceeded,False
-0.998915,300,42915.980361,max_steps_exceeded,False
-1.552718,300,43838.605258,max_steps_exceeded,False
1.590038,165,44694.506729,success,True
-1.200201,300,46475.183423,max_steps_exceeded,False
-0.944973,300,47680.951185,max_steps_exceeded,False
-0.53318,300,48671.150717,max_steps_exceeded,False
-0.693431,300,49861.284253,max_steps_exceeded,False
1.967254,16,49915.587391,success,True
1.590886,193,51310.18575,success,True
1.924776,61,51817.004225,success,True
-1.04068,28,51912.264405,collision,False
-1.491574,300,52787.438443,max_steps_exceeded,False
-1.548945,300,54033.449084,max_steps_exceeded,False
1.84707,70,54228.947512,success,True
1.926178,36,54335.734663,success,True
-0.471987,300,55591.629967,max_steps_exceeded,False
1.833871,99,55917.730295,success,True
1.884964,61,56757.525737,success,True
1.779981,86,57061.78057,success,True
-0.72975,300,58401.04989,max_steps_exceeded,False
1.605718,205,59022.669783,success,True
1.624621,195,59673.800657,success,True
1.753399,106,60384.939692,success,True
1.952694,25,60467.180867,success,True
1.930413,39,60628.103049,success,True
