#{"t_start": 1653316065.8069, "env_id": "TrajectoryGenerationURSim-v0"}
r,l,t,final_status,is_success
-1.179246,49,469.157525,collision,False
-1.285105,54,829.52995,collision,False
-1.130697,41,1033.782666,collision,False
-1.092718,28,1263.902384,collision,False
-1.171345,35,1480.971898,collision,False
-1.42795,69,1888.162574,collision,False
-1.487474,83,2406.405131,collision,False
-1.118208,34,2624.019736,collision,False
-1.232606,56,3092.868738,collision,False
-1.241866,46,3396.567083,collision,False
-1.226601,38,3992.929432,collision,False
-1.361056,100,4347.506221,collision,False
1.964992,17,4441.188674,success,True
-1.448337,300,5602.81824,max_steps_exceeded,False
-1.105484,27,5683.996403,collision,False
-1.50466,100,6349.507445,collision,False
-1.183075,300,8337.589753,max_steps_exceeded,False
-1.022727,9,8389.181761,collision,False
-2.333103,221,9415.161765,collision,False
-0.968205,300,10452.04782,max_steps_exceeded,False
-1.790273,300,11713.722987,max_steps_exceeded,False
-1.662273,300,13645.042147,max_steps_exceeded,False
-1.195457,300,14815.213916,max_steps_exceeded,False
-1.102091,300,16067.07375,max_steps_exceeded,False
-1.196219,300,16892.312967,max_steps_exceeded,False
-1.100596,300,18077.190919,max_steps_exceeded,False
-1.362835,300,20010.973028,max_steps_exceeded,False
-1.524799,300,21198.388695,max_steps_exceeded,False
-1.254977,300,22045.930302,max_steps_exceeded,False
-1.315875,300,23302.547255,max_steps_exceeded,False
-1.461156,300,25460.907605,max_steps_exceeded,False
1.407232,176,25911.362128,success,True
-1.584986,121,26272.222604,collision,False
-1.361258,114,26633.630189,collision,False
-1.132539,300,27835.781055,max_steps_exceeded,False
-1.22945,124,28264.404449,collision,False
1.363137,205,29194.275518,success,True
-1.250793,300,30914.055908,max_steps_exceeded,False
-1.294391,300,32122.143658,max_steps_exceeded,False
-1.963021,186,32617.660252,collision,False
-0.911277,300,33863.165484,max_steps_exceeded,False
1.993385,7,33893.915933,success,True
-1.011244,8,33921.826642,collision,False
-1.347536,300,35651.859518,max_steps_exceeded,False
-1.657249,300,36834.042318,max_steps_exceeded,False
-1.134712,51,36994.905322,collision,False
-1.299444,148,37414.935563,collision,False
-1.257134,66,37936.73246,collision,False
-1.327693,300,38872.447309,max_steps_exceeded,False
-0.779806,300,40888.698572,max_steps_exceeded,False
1.989947,8,40929.088808,success,True
-1.20833,300,41771.23957,max_steps_exceeded,False
-1.220974,300,42944.906626,max_steps_exceeded,False
1.799392,65,43115.553329,success,True
-1.085377,27,43191.656481,collision,False
1.940564,39,43369.427273,success,True
-1.373968,65,43561.25001,collision,False
-1.27231,300,44773.313266,max_steps_exceeded,False
-1.618678,196,46286.937181,collision,False
-1.766648,244,47331.024871,collision,False
1.982487,12,47384.538383,success,True
-1.113178,42,47492.096622,collision,False
-1.111675,47,47623.940903,collision,False
-1.31063,111,47981.687706,collision,False
1.958783,19,48043.353272,success,True
-1.161776,75,48312.009708,collision,False
-1.332219,72,48514.303972,collision,False
-1.608123,300,49704.991497,max_steps_exceeded,False
-0.616962,300,51775.646482,max_steps_exceeded,False
1.891074,58,51937.677932,success,True
1.96804,23,52004.319118,success,True
1.913539,60,52177.667718,success,True
1.956488,34,52330.658311,success,True
-1.211027,300,53540.287536,max_steps_exceeded,False
-1.557464,204,54108.159393,collision,False
1.702896,162,54646.774327,success,True
1.998356,3,54671.844063,success,True
1.392268,198,55595.154534,success,True
-0.796975,300,57245.654356,max_steps_exceeded,False
-1.173586,300,58559.689844,max_steps_exceeded,False
-0.629293,300,59512.8623,max_steps_exceeded,False
