#{"t_start": 1653316091.2152262, "env_id": "TrajectoryGenerationURSim-v0"}
r,l,t,final_status,is_success
-1.224813,53,481.792835,collision,False
-1.405713,83,934.849526,collision,False
-1.226917,37,1268.326266,collision,False
-1.169364,35,1486.64286,collision,False
-1.938655,174,2519.484423,collision,False
-1.076042,29,2777.690964,collision,False
-1.15832,70,3279.564012,collision,False
-1.105076,300,4878.123575,max_steps_exceeded,False
-1.238688,71,5145.474807,collision,False
-1.097646,32,5246.612309,collision,False
-1.173083,35,5452.884149,collision,False
-1.566129,300,6773.763813,max_steps_exceeded,False
-1.880427,218,8517.506443,collision,False
-1.281992,300,9839.597913,max_steps_exceeded,False
-1.049,20,9930.796977,collision,False
-1.212761,300,11218.522685,max_steps_exceeded,False
-1.016513,300,12099.122036,max_steps_exceeded,False
-1.847321,300,14348.416984,max_steps_exceeded,False
-0.856091,300,15215.252293,max_steps_exceeded,False
-1.058997,15,15268.867656,collision,False
-1.393734,300,16461.156137,max_steps_exceeded,False
-1.430675,300,17293.302426,max_steps_exceeded,False
-1.24275,300,19512.988986,max_steps_exceeded,False
-1.345483,300,20762.541935,max_steps_exceeded,False
-1.354254,300,21577.712233,max_steps_exceeded,False
-2.058806,238,22684.822117,collision,False
-0.964551,300,24502.632165,max_steps_exceeded,False
-0.969107,300,25699.308826,max_steps_exceeded,False
-1.300723,300,26550.615373,max_steps_exceeded,False
1.704583,120,27355.813054,success,True
-1.389531,300,28198.125613,max_steps_exceeded,False
-1.014901,300,30273.671897,max_steps_exceeded,False
1.886517,78,30489.207233,success,True
1.636644,136,30862.705347,success,True
-1.367494,300,32068.641573,max_steps_exceeded,False
-1.347171,300,32954.462814,max_steps_exceeded,False
-0.7462,300,34159.155358,max_steps_exceeded,False
1.230086,278,36189.654004,success,True
-0.730054,300,37034.719775,max_steps_exceeded,False
1.646891,216,38048.603504,success,True
-1.267294,300,38945.07023,max_steps_exceeded,False
-1.154208,74,39138.850516,collision,False
-1.296451,300,41155.634163,max_steps_exceeded,False
1.929184,36,41265.322174,success,True
-1.113503,300,42452.104465,max_steps_exceeded,False
-1.151118,300,43316.290451,max_steps_exceeded,False
1.856529,98,43625.970075,success,True
-0.879319,300,44829.572349,max_steps_exceeded,False
1.923838,39,44937.354155,success,True
-1.6424,197,46446.931728,collision,False
-1.408403,300,47664.864257,max_steps_exceeded,False
-1.564053,288,48978.970505,collision,False
-0.564348,300,49825.985313,max_steps_exceeded,False
1.638272,111,50121.315195,success,True
-1.629899,300,52182.439681,max_steps_exceeded,False
-0.895467,300,53417.812878,max_steps_exceeded,False
-1.907987,300,54307.12063,max_steps_exceeded,False
1.647434,248,55396.224722,success,True
-0.573826,300,57050.815774,max_steps_exceeded,False
1.871488,94,57351.622551,success,True
-1.928672,293,58653.4995,collision,False
1.989974,9,58702.842415,success,True
-0.985752,300,59994.900112,max_steps_exceeded,False
