#{"t_start": 1653315994.8864427, "env_id": "TrajectoryGenerationURSim-v0"}
r,l,t,final_status,is_success
-1.221297,44,499.996967,collision,False
-1.252188,53,859.04343,collision,False
-1.213887,44,1069.95647,collision,False
-1.796116,152,2023.963674,collision,False
-1.353282,65,2419.219031,collision,False
-1.132192,41,2738.957072,collision,False
-1.097821,38,3050.381056,collision,False
-1.388099,87,4015.293305,collision,False
-1.569865,209,4772.760547,collision,False
-2.197692,186,5518.740928,collision,False
-1.909224,300,6854.281051,max_steps_exceeded,False
-1.541778,120,8240.073337,collision,False
-1.615723,137,8772.697482,collision,False
-1.589586,300,10094.431351,max_steps_exceeded,False
-1.039534,9,10130.996747,collision,False
-1.835583,271,11285.948114,collision,False
-1.322621,300,12169.871223,max_steps_exceeded,False
-1.513666,300,14418.204639,max_steps_exceeded,False
-1.806108,300,15286.293259,max_steps_exceeded,False
-1.463232,300,16499.384384,max_steps_exceeded,False
-1.57285,300,17333.606463,max_steps_exceeded,False
-1.400531,300,19558.485516,max_steps_exceeded,False
-1.433286,300,20795.06599,max_steps_exceeded,False
1.931961,29,20900.906796,success,True
-0.787628,300,21716.736261,max_steps_exceeded,False
-1.922341,190,22671.554774,collision,False
-1.086345,300,23552.706871,max_steps_exceeded,False
-1.036941,300,25697.203527,max_steps_exceeded,False
-1.091201,300,26527.822359,max_steps_exceeded,False
1.984461,13,26586.298078,success,True
-1.20922,118,27347.020603,collision,False
-1.127939,300,28206.519508,max_steps_exceeded,False
-0.924368,300,30273.012635,max_steps_exceeded,False
-1.506964,130,30665.541222,collision,False
-1.073128,35,30758.784185,collision,False
-0.931232,300,31965.891998,max_steps_exceeded,False
-0.660711,300,32788.320599,max_steps_exceeded,False
-1.148806,46,32977.084465,collision,False
-1.180083,76,33533.668749,collision,False
-1.360387,139,33915.462614,collision,False
-0.945964,300,35672.082994,max_steps_exceeded,False
-1.409143,300,36826.808185,max_steps_exceeded,False
-1.102841,300,38101.208132,max_steps_exceeded,False
-1.319981,152,38526.960238,collision,False
-2.475918,285,39393.537298,collision,False
-1.252627,103,40810.309794,collision,False
-0.822572,300,41664.309716,max_steps_exceeded,False
1.940052,48,41824.962524,success,True
-0.960392,300,43002.78994,max_steps_exceeded,False
-1.268862,300,43992.772994,max_steps_exceeded,False
-1.629074,300,46102.19967,max_steps_exceeded,False
-1.497581,300,47297.089992,max_steps_exceeded,False
-1.553428,193,47843.85603,collision,False
-1.726775,228,48621.543922,collision,False
-1.459761,159,49413.291736,collision,False
-1.552277,300,50291.517058,max_steps_exceeded,False
-1.146475,300,52352.418154,max_steps_exceeded,False
1.488515,252,53029.992363,success,True
1.993521,8,53070.507661,success,True
-1.247698,300,54346.050677,max_steps_exceeded,False
-1.196553,74,54575.225301,collision,False
-1.669371,300,55842.660875,max_steps_exceeded,False
1.768989,124,56923.143659,success,True
-1.027168,22,56984.416149,collision,False
-1.50238,300,58306.892112,max_steps_exceeded,False
-0.982554,300,59313.202138,max_steps_exceeded,False
-1.810737,271,60508.067919,collision,False
1.985194,9,60573.244023,success,True
