#{"t_start": 1652252170.0854518, "env_id": "TrajectoryGenerationURSim-v0"}
r,l,t
-1.431326,152,570.803981
-1.177249,38,676.842608
-1.385294,95,956.130224
-1.753685,137,1353.490841
-1.883817,164,1858.059896
-2.04454,239,2436.363665
-1.957989,185,2994.667265
-1.620783,186,3540.208243
-1.499938,148,4752.265067
-1.882641,243,5406.495736
-1.593797,106,5707.423127
-1.71808,152,6146.306529
-1.88853,149,6610.917581
-1.719596,146,7127.939651
-1.902265,300,7797.247207
-0.92809,300,9308.831449
-1.840169,142,9652.29228
-1.140498,35,9795.17704
-1.026228,300,10488.778434
-1.925081,137,10845.227541
-1.586609,137,11225.901967
-1.019749,300,12679.100456
-1.091818,300,13356.932886
-1.356382,300,14176.106981
-1.215376,300,14777.308472
-1.609367,199,15238.199939
-1.884435,300,16571.879788
-1.611228,300,17189.607868
-1.289155,300,17798.658219
-1.440367,300,18408.277879
-1.000693,300,19925.336103
-1.08743,300,20519.578935
-1.468371,300,21115.38203
-1.355577,300,21718.674491
-1.603561,300,23053.362679
-1.255961,300,23649.247423
-1.722481,300,24244.429976
-1.082709,300,25032.519281
-1.616209,300,26348.146126
-0.75879,300,26943.281377
-0.973858,300,27538.23594
-1.318766,300,28133.938837
-1.359527,300,28732.254954
-0.839914,300,30226.228578
1.995946,6,30252.798321
-1.270863,300,30821.16035
-1.594128,300,31423.155352
-0.963833,300,32016.828665
-0.462847,300,33325.383495
-1.431752,300,33919.956183
-1.343635,300,34525.83237
-1.059316,300,35321.553242
-1.358872,300,36657.801886
-0.905883,300,37256.64838
-1.686643,300,37849.218037
-0.951214,300,38448.371082
-0.736538,300,39770.239615
-0.897617,300,40367.388184
-1.33491,300,41155.324768
-0.650605,300,41739.2798
-1.083374,300,43069.718499
-0.921364,300,43666.86587
-0.804147,300,44292.697121
-0.665467,300,44894.05578
-1.378093,300,46249.331595
-1.484211,300,47045.256733
-0.839742,300,47672.66831
-1.203828,300,48289.099212
-1.163099,300,48893.588841
-0.912132,300,50217.182019
-1.021537,300,50830.175823
-1.00119,300,51441.194626
-1.338593,300,52274.10268
-1.399447,300,53589.939852
-0.600087,300,54198.84767
-1.074357,300,54833.617479
-1.328133,300,55442.73939
-0.862982,300,56779.715509
-1.250269,300,57591.331368
-0.746014,300,58218.191426
-1.437375,300,58823.353064
-1.310701,300,60211.937693
-0.719064,300,60832.224055
1.779169,71,60993.63309
-1.217906,300,61608.350525
-1.126357,300,62214.023964
-0.927733,300,63672.045801
-0.77896,300,64302.372798
-1.258848,300,64950.105619
1.753373,101,65178.410697
-1.307763,73,65310.774383
-0.901683,300,65935.170289
-1.094689,300,67165.227415
-0.852358,300,67795.057863
1.528381,187,68194.172533
-1.307663,300,68999.619793
1.965538,19,69064.060078
-0.959434,300,70305.315231
-0.649625,300,70928.066689
-0.889145,300,71539.052579
-1.287888,300,72162.917003
-1.521808,300,73461.290642
-1.227742,300,74294.405525
-1.602907,300,74973.565878
-1.081459,300,75619.524896
-0.512319,300,76847.073527
-0.950845,300,77514.67439
-1.1635,300,78173.276959
-0.781398,300,78780.205547
-1.159167,300,79589.457916
-0.806746,300,80832.729919
1.942414,34,80943.596391
1.848161,59,81108.510235
-0.881222,300,81749.054383
1.544434,162,82112.512923
1.968499,31,82179.356262
-1.191602,300,82828.409223
-1.390655,300,84102.26207
-0.827799,300,84743.731919
1.908607,40,84875.241354
1.990666,7,84902.867848
-1.010316,300,85736.799552
-0.909819,300,86377.21059
1.87746,63,86564.204364
1.936963,35,87256.337008
-1.208472,300,87907.008254
-0.837018,300,88573.458345
1.922588,41,88704.217436
-1.056073,300,89355.574579
-0.722263,300,90586.133568
1.723779,174,90998.239268
-0.997297,300,91895.678068
-1.063886,300,92527.552151
1.889427,56,92655.066115
1.957507,25,92738.464622
1.887284,58,92871.689734
-0.964679,300,93538.844706
1.856302,81,94273.628308
-1.220081,300,94926.178921
-1.301102,300,95586.415111
-1.076747,300,96319.969027
1.82993,62,96497.861076
1.956546,34,96583.034206
1.681299,125,97026.857833
-1.099358,300,98380.686088
-1.112862,300,99106.447211
-1.329663,300,99822.049522
-1.486111,300,100457.517989
1.892138,39,100592.596208
1.733915,138,101321.419155
1.91208,48,101420.813216
-1.752974,267,102045.374252
1.943917,24,102127.893504
1.864687,82,102304.292204
-1.198058,72,102474.114964
-1.280135,300,103423.059534
-0.744965,300,104082.204271
1.946891,35,104189.408156
-1.056807,300,105336.818272
1.894691,78,105516.982141
-0.684355,300,106232.402641
1.954992,30,106325.619225
-2.133156,243,106978.313618
