#{"t_start": 1652252079.247914, "env_id": "TrajectoryGenerationURSim-v0"}
r,l,t
-1.244591,98,488.619531
-1.621767,109,811.974619
-1.344378,86,1081.444929
-1.283957,70,1329.531707
-1.485774,300,2159.900236
-1.224924,105,2388.799213
-1.461519,113,2660.399585
-1.151308,45,2819.92185
-1.958903,231,3446.449193
-1.525021,143,4731.632288
-2.426413,229,5340.445093
-1.381836,75,5568.293565
-1.461287,152,5986.928608
-1.309731,82,6203.549213
-1.670817,164,6737.081847
-0.880851,300,7594.111768
-1.342712,300,9092.912316
-1.691965,127,9356.376685
-1.622141,174,9840.758871
-1.231201,128,10157.955471
-1.03936,300,10872.010862
-1.654109,256,11601.034468
-2.227899,208,12794.37077
-1.82802,300,13467.470316
-0.983455,300,14289.720824
-1.028912,300,14912.284944
-1.68318,141,15218.927311
-1.578842,300,16563.457816
-1.367845,300,17173.145011
-1.255303,300,17788.036537
-1.333116,300,18394.181518
-1.449332,300,19916.413993
-2.040813,300,20505.367546
-1.476475,300,21105.21891
-1.641747,300,21708.887809
-1.338267,300,23042.486366
-0.702801,300,23638.605434
-1.135509,300,24234.688216
-0.712887,300,25023.433045
-1.370376,300,25629.424428
-1.675905,300,26930.783953
-1.335092,300,27527.631405
-1.067223,300,28122.450455
-0.891846,300,28722.467305
-1.361359,300,30027.258038
-1.295309,300,30804.348352
-1.085709,300,31405.727622
-1.528238,300,31994.607782
-1.324056,300,33306.341507
-1.444303,300,33896.782749
-0.806188,300,34509.524972
-0.806186,300,35302.610922
-1.231177,300,36633.72524
-1.346378,300,37236.73638
-1.468098,300,37830.681653
-1.316896,300,38427.507568
-0.953659,300,39752.200613
-0.638097,300,40347.40288
-1.603436,177,40703.793645
-0.893901,300,41486.911818
-0.744295,300,42085.097035
-1.205146,300,43406.244548
-0.685196,300,44024.259762
-1.366895,300,44621.264303
-1.41424,300,45227.733918
-1.281088,300,46762.094148
-0.885061,300,47361.223885
1.912045,38,47458.052943
-1.092989,300,48059.729987
-0.954765,300,48673.585015
-1.287283,300,50000.937698
-0.886801,300,50601.298198
-1.402215,300,51216.508187
-0.969946,300,52040.012877
-1.096445,300,53370.643388
-0.798327,300,53977.576146
-0.676496,300,54576.197511
-1.078807,300,55214.344417
-0.875287,300,56569.522987
-1.123899,300,57185.626713
1.985831,9,57215.574259
1.800166,147,57717.638378
-1.20428,59,57832.723849
1.877153,69,58009.182777
-0.963521,300,58604.369647
-0.647251,300,59225.303924
1.975189,19,60009.907165
-1.89139,214,60468.976944
1.988796,10,60502.276746
-1.179791,300,61119.023316
-1.276591,300,61731.48161
-0.782291,300,62336.47537
-1.278685,300,63796.378983
-1.187641,300,64423.797708
-1.253117,300,65075.707147
-0.558959,300,65723.214155
-0.871554,300,66939.292779
-1.546314,300,67551.702505
-1.176934,300,68170.568876
-1.127713,300,68963.968995
-1.080726,300,70218.645457
1.705112,220,70723.029194
-0.516683,300,71321.745894
-0.708744,300,71940.935993
-0.710512,300,72604.491085
-1.302794,300,73875.346936
-1.180191,300,74704.782351
1.923841,33,74803.921004
-1.619027,251,75330.592168
-1.510447,300,76019.402744
-1.034112,300,77256.212652
-0.686253,300,77881.438491
-0.754831,300,78542.396548
-1.244865,300,79143.783716
-0.540717,300,80600.749789
1.959319,32,80665.582347
1.93307,40,80735.969685
-1.123588,300,81393.032876
-0.853031,300,82042.747219
1.959453,20,82095.326257
-1.287593,300,82775.257016
-1.657474,258,84012.323006
-1.356552,300,84642.782361
1.934776,38,84722.622614
-0.820865,300,85573.345129
-1.371412,300,86209.579216
-1.577825,224,87385.39888
-1.256338,300,88049.22256
-1.299676,300,88715.185764
-0.940676,300,89367.479725
1.814796,87,89600.079242
1.969738,25,89654.211347
-1.100077,300,90894.248285
-1.417693,300,91759.961143
1.94247,48,91912.119703
-1.402246,300,92532.826069
-0.530884,300,93284.678304
-1.012809,300,94473.017391
1.979334,11,94509.042023
-1.143521,300,95163.064169
1.983816,10,95215.42982
-1.204813,300,95881.219702
1.374089,227,96346.048492
1.977177,19,96442.361109
-0.887023,300,97918.438541
-1.222028,300,98683.880805
1.905568,57,98837.933629
1.895916,54,98935.367936
1.874121,93,99156.892126
1.984874,9,99186.528371
1.918665,39,99277.195003
-1.120574,300,100013.188184
-0.73759,300,100660.418732
-1.051742,15,100735.70346
1.802285,146,101461.392817
-1.240503,300,102168.258165
-1.20239,300,103060.618144
1.865438,91,103335.79641
1.943496,35,103427.3585
-1.110481,300,104077.965487
1.627849,171,104882.404763
1.946255,27,104942.401022
-0.89002,300,105708.133801
1.980288,22,105763.016974
-0.745559,300,106518.915405
1.702927,215,107106.367567
1.926274,47,107200.221659
