#{"t_start": 1652252149.9149947, "env_id": "TrajectoryGenerationURSim-v0"}
r,l,t
-2.087453,249,875.572487
-1.443577,85,1193.698569
-1.512654,91,1402.232501
-1.419931,79,1592.806885
-1.377058,81,1853.667071
-2.209055,260,2511.409535
-1.552326,110,2835.979398
-1.369505,141,3191.730098
-1.187638,41,3301.245672
-1.156321,58,3532.772859
-1.179919,52,3690.085197
-1.423035,300,5322.731067
-1.221783,77,5553.274789
-1.394046,113,5842.586276
-1.431566,131,6270.271655
-1.44195,91,6552.051543
-1.434928,300,7438.526717
-1.732335,162,7764.757891
-1.44686,168,8976.749872
-0.937183,300,9704.516373
-1.306124,95,9943.257595
-1.695556,300,10698.123715
-1.690025,134,11024.038491
-1.931214,173,11583.557715
-1.301292,300,12961.122598
-1.071918,300,13808.560867
-1.075402,300,14416.666809
-1.768444,300,15027.397346
-1.364775,300,16392.296706
-1.937667,300,16994.390275
-0.989336,300,17611.140846
-1.437849,300,18223.724093
-1.396165,300,19747.083107
-1.06971,300,20334.538065
-1.589804,300,20934.867459
-1.30753,300,21536.018819
-0.874929,300,22137.851054
-0.988317,300,23467.459953
-1.499202,300,24064.199784
-0.968412,300,24845.486161
-1.397258,300,25453.108036
-0.736261,300,26756.79971
-1.304908,300,27362.177912
-1.24986,300,27950.062892
-1.172816,300,28549.673101
-0.78678,300,29859.09123
-0.999393,300,30635.686244
-1.192219,300,31221.289683
1.940126,39,31314.055862
-1.187686,300,31902.606283
-0.72709,300,33212.413433
-0.977357,300,33800.089272
-1.576521,300,34410.837684
-0.887819,300,35206.024797
-1.314618,300,36537.005663
-1.363444,300,37143.032573
-1.028452,300,37738.186099
-1.44227,300,38330.669167
-1.329003,300,39659.198771
-0.979137,300,40253.516478
-0.720423,300,41058.269469
-1.358464,300,41642.654372
-1.239386,300,42972.667348
-1.650415,300,43569.623235
-1.306363,300,44196.669875
-1.342876,300,44786.722049
-1.100307,33,44853.589545
-1.21777,300,46194.095681
-1.179906,300,47000.877932
-0.870325,300,47621.106774
-0.931021,300,48243.114864
-1.06385,300,48844.57248
-1.125213,300,50171.333934
-0.928293,300,50780.729406
-0.815166,300,51390.502324
-1.313205,300,52227.427424
-0.785043,300,53541.840766
-0.659778,300,54149.840138
-0.863023,300,54782.982852
-0.634904,300,55399.174482
-1.252199,300,56731.081831
-1.593347,300,57358.164942
1.908163,51,57668.55186
-1.265634,300,58281.675237
-1.128502,300,58889.365497
-1.250692,300,60275.996652
-0.926243,300,60894.584006
-0.600852,300,61513.637695
-1.136411,300,62115.604255
-1.361879,300,63572.505838
-0.796539,300,64203.222625
-0.965005,300,64841.172826
-0.740441,300,65504.792647
1.981252,13,65547.013252
-1.337314,300,66762.024932
-1.408293,139,67051.730156
-0.937984,300,67682.876255
1.829429,78,67835.590522
-0.825013,300,68617.099166
-1.346703,300,69270.19613
-1.090323,300,70550.323061
-0.947006,300,71153.576093
-0.614776,300,71770.942688
-0.862584,300,72418.632455
-1.058687,300,73688.264327
-0.678926,300,74530.954897
1.852237,95,74761.506811
-0.716305,300,75384.355473
1.812769,86,75577.574854
1.86363,66,75782.685441
-0.790876,300,76985.025117
-1.425081,300,77649.155631
-0.942374,300,78315.642881
-1.084797,300,78916.438032
-0.561132,300,80366.432795
-1.271878,300,80993.534529
-1.210073,300,81610.251603
-1.231251,300,82331.418782
-1.555881,300,82990.767811
-0.509509,300,84284.485118
1.910336,54,84428.271976
-1.202732,300,85062.860271
-0.894443,300,85891.927697
1.917303,29,85955.660851
-1.594225,300,87245.456544
-0.630276,300,87907.972529
-0.446318,300,88571.354342
-1.326149,300,89209.964423
1.97101,14,89276.324137
-0.772781,300,89959.601654
-0.537473,300,91385.517305
-1.165921,300,92116.590223
-0.637296,300,92792.104544
1.951956,32,92859.572797
-1.091416,41,92983.892169
1.972026,18,93028.449024
-0.544305,300,94209.159394
1.93933,31,94275.497401
-1.230453,300,94920.39527
-0.822769,300,95579.48776
1.93847,45,95748.911808
1.980643,21,95835.0699
-1.021939,300,96534.486724
-1.425739,300,98033.489057
-1.115668,41,98120.02349
1.980253,15,98157.590346
-0.74696,300,98879.826247
-1.171483,300,99592.551866
1.884944,50,99699.746516
-0.980203,300,100314.384259
-1.300116,300,101489.588697
-0.804019,300,102212.027996
-1.241228,300,103115.329718
-1.277765,300,103766.347046
1.982219,16,103829.396389
-1.116008,300,104970.71876
1.998447,3,104999.33554
1.966291,20,105036.313314
1.977705,13,105090.090005
1.945522,34,105184.824429
1.930917,40,105281.160446
-0.906873,300,105963.030059
1.980926,15,106006.655459
1.628396,200,106587.769935
-0.996868,300,107374.434173
