#{"t_start": 1652252089.3452122, "env_id": "TrajectoryGenerationURSim-v0"}
r,l,t
-1.658439,110,518.194264
-1.449166,118,857.43775
-1.160982,68,1100.349324
-1.63715,246,1776.369797
-1.193936,75,2009.981273
-1.345904,92,2241.469601
-2.012861,201,2739.196435
-1.88532,192,3283.468036
-1.196781,70,3507.05046
-1.305556,88,4616.828781
-1.654208,168,5106.108339
-1.89376,284,5839.617774
-1.714087,137,6255.849749
-1.248542,99,6524.614552
-2.658156,258,7331.880838
-1.532455,300,8803.361231
-1.541158,300,9557.897514
-1.946675,218,10114.370707
-1.522159,211,10619.811179
-0.923935,300,11447.498071
-1.68525,300,12868.052248
-2.036999,163,13230.598143
-1.937101,205,13905.730595
-1.114793,300,14511.755679
-1.466594,300,15127.605354
-0.75752,300,16484.61457
-1.503585,300,17091.359833
-1.263827,300,17707.64784
-0.611246,300,18317.944068
-0.968276,300,19839.202189
-0.64501,300,20428.26316
-0.991149,300,21031.201987
-1.89971,300,21631.600752
-1.121476,300,22965.477514
-1.181976,300,23562.143512
-1.476413,300,24158.612214
-1.077144,300,24941.133558
-1.498022,300,25553.222173
-1.234391,300,26852.151792
-0.878838,300,27453.915125
-1.289874,300,28042.963458
-0.787402,300,28643.412002
-1.405879,300,29952.436663
-0.86052,300,30729.419178
-0.942149,300,31315.895652
-1.290769,300,31906.567863
-1.479799,300,33216.324677
-0.979156,300,33802.974854
-1.307963,300,34412.591052
-1.408546,300,35211.49284
-1.368627,300,36535.824062
-1.075987,300,37141.804334
-1.430666,300,37735.497444
-0.791895,300,38333.164446
-1.532131,300,39665.060629
-1.091262,300,40256.105125
-1.08732,300,41062.726508
-1.22208,300,41645.981027
-1.329694,300,42974.237764
-0.899843,300,43570.23849
-1.223724,300,44199.171088
-0.69817,300,44787.8174
-0.96983,300,45408.22002
-0.689449,300,46953.668243
-1.722992,300,47570.402974
-0.793023,300,48184.177903
-1.359577,300,48795.775724
-0.957551,300,50122.485794
-0.762435,300,50724.423062
-1.177291,300,51339.837352
-1.800145,300,52159.920777
-1.373888,300,53473.733035
-0.81497,300,54084.77247
-1.081267,300,54685.451362
1.986407,12,54731.20605
-1.341682,300,55320.993126
-0.71353,300,56678.734974
-0.991052,300,57301.569173
-1.252707,300,58138.06411
-0.697342,300,58734.031436
-0.768788,300,60103.99823
-1.467374,146,60428.265418
-1.259957,300,61047.848948
-1.057865,300,61659.701055
-0.78572,300,62267.714608
-1.109361,300,63727.379732
-1.08863,300,64355.237432
-1.426781,300,64999.815073
-0.795126,300,65668.219454
-0.495914,300,66890.49615
-1.258252,300,67495.660585
-1.197415,300,68116.952869
-0.486685,300,68912.459201
-0.900231,300,70169.449677
-1.132839,300,70845.382546
-1.059338,300,71440.58778
-1.225353,300,72064.679376
-0.955594,300,73397.812921
-1.130016,300,74013.786675
-0.898655,300,74869.66843
1.947806,30,74935.526372
-0.600261,300,75542.090744
-1.400268,300,76217.911966
-0.836234,300,77464.324671
-0.99096,300,78091.993501
-1.263526,300,78715.481233
-0.784681,300,79530.207138
-1.171644,300,80793.416849
-1.269787,300,81456.031141
-0.921144,300,82124.545304
1.770818,111,82427.878737
-0.838321,300,83744.537717
-1.350777,300,84379.967988
-0.98418,300,85026.479812
1.491615,144,85508.291303
-1.201789,300,86143.550392
-1.199247,300,87483.837906
-1.209448,300,88141.901447
-0.888612,300,88839.957307
-1.108335,300,89498.927582
-1.112752,300,90742.328202
-2.245594,245,91463.603024
1.893134,49,91587.034103
1.951582,30,91650.355893
1.967063,30,91711.14396
-0.897406,300,92371.756284
1.940538,31,92457.066763
-0.897232,300,93199.487695
-0.742744,300,94409.38658
-0.960099,300,95082.480811
-1.398812,300,95730.789311
1.974473,24,95799.401286
1.781213,88,96022.763677
-1.424274,300,96923.527005
1.835274,82,97073.042375
1.879475,83,97851.357642
-1.344104,300,98617.177842
-1.456165,300,99336.38922
1.961041,17,99406.594793
1.645491,104,99628.019222
1.939323,56,99780.308369
1.953432,23,99846.626491
-1.536336,300,100466.086466
1.897369,34,100567.118454
-1.281674,300,101722.074423
-1.069782,300,102413.170999
-1.191818,300,103365.665164
-1.272131,300,103997.70244
-0.961946,300,105173.520792
1.733966,196,105650.154374
-0.914482,300,106368.265888
1.960439,26,106467.230036
1.890803,57,106628.404167
1.948438,22,106699.131504
1.90401,76,106870.737016
