#{"t_start": 1652252119.5884068, "env_id": "TrajectoryGenerationURSim-v0"}
r,l,t
-1.270412,64,352.379065
-1.308459,65,562.643595
-1.492856,171,1102.841201
-2.711118,263,1804.324379
-1.296708,62,2014.706759
-2.709088,288,2736.847287
-1.499589,96,3020.575905
-1.704155,134,3361.679667
-2.161246,226,4913.332255
-2.072645,213,5426.516835
-2.458031,270,6252.354024
-1.37687,82,6450.208863
-1.814908,300,7393.074033
-1.351562,75,7581.829446
-1.522828,146,7889.657737
-0.911489,300,9428.652474
-1.275936,103,9644.740557
-1.335693,300,10398.71856
-1.027226,300,11199.85258
-1.620321,300,12636.146495
-1.494177,207,13126.930913
-1.853161,198,13770.258271
-1.461463,300,14388.757657
-2.082695,229,14845.773571
-1.291463,300,15485.64829
-1.392352,300,16815.499075
-1.649185,300,17432.378095
-1.114374,300,18060.530681
-1.820839,300,18866.034532
-1.391177,300,20178.432862
-1.800253,300,20777.544369
-1.389674,300,21376.990368
-1.150979,300,21980.841376
-0.964439,300,23307.500087
-1.303294,300,23906.169501
-1.176618,300,24694.198866
-1.269953,300,25290.948928
-1.104277,300,26603.910937
-1.268467,300,27206.623046
-1.118498,300,27796.924503
-1.122292,300,28387.560698
-1.589693,300,29703.228216
-1.462396,300,30489.062283
-0.87791,300,31063.880593
-1.264511,300,31667.677127
-1.029658,300,32979.082633
-1.139191,300,33568.524794
-1.262689,300,34166.926543
1.955661,25,34237.137638
-1.360644,300,34825.10236
-1.122917,300,36358.450557
-1.478852,300,36964.513809
-1.431869,300,37554.492782
-1.209869,300,38150.401311
-1.101881,300,38756.994288
-0.881911,300,40077.340888
-1.051753,300,40693.185995
-0.894609,300,41465.987467
-0.954896,300,42069.002045
-0.803282,300,43386.908223
-1.392777,300,44010.181481
-1.50563,300,44606.269613
-1.504172,300,45207.978739
-1.497086,300,46747.944751
-0.814672,300,47346.206424
1.889104,81,47520.443824
-1.226593,300,48130.348091
-1.603049,300,48740.12727
-0.826264,300,50066.437103
-1.364836,300,50666.535984
-1.344269,300,51283.616151
-0.810291,300,52106.602501
-1.093937,300,53419.644033
-1.202134,300,54027.988625
-1.589587,300,54631.141604
1.996488,5,54677.153059
1.980495,18,54719.464168
-1.015596,300,55324.745212
1.578217,196,56446.579534
-0.867945,300,57055.559376
-1.312312,300,57903.954893
-1.146897,300,58503.922068
-1.112671,300,59117.582921
-1.346756,106,60101.100708
-1.050202,300,60716.671564
-0.670381,300,61337.240933
-0.510684,300,61975.965073
-1.057011,300,63245.163885
-0.961087,300,64030.735983
1.972976,17,64080.233361
1.954034,30,64136.449244
-1.002662,300,64753.284419
1.96508,26,64811.603065
-1.245472,300,65470.074204
-0.732536,300,66712.319276
-1.20009,300,67318.634521
1.713508,106,67561.881028
-1.435563,300,68187.153402
-0.940525,300,68988.771585
-1.422884,300,70231.246599
1.957988,26,70291.544265
-1.208806,53,70452.880719
-0.791561,300,71053.246063
-1.006895,300,71664.078985
-1.263397,300,72301.09325
-1.471099,300,73601.350293
-0.858968,300,74435.363867
-0.9632,300,75098.149923
-1.485529,300,75753.588251
-1.007104,300,76982.744101
-1.207723,300,77645.213402
-1.572368,300,78308.807386
-1.632426,300,78912.199727
-0.794891,300,80360.348399
-1.529887,300,80975.811093
1.942429,24,81065.67724
-0.960144,300,81682.485855
1.956499,32,81783.281178
1.934025,25,81847.273417
1.755994,137,82144.504475
1.906053,40,82250.380988
-0.560496,300,82907.835344
-0.834677,300,84199.504611
-1.24857,300,84838.908001
-1.283421,300,85681.463305
-0.951774,300,86318.342588
1.914792,45,86471.5615
-1.023386,15,86519.629955
-1.342706,300,87760.106471
1.933963,38,87866.745243
-0.687717,300,88513.290441
1.916765,45,88644.484038
-1.257762,300,89272.414644
-1.319963,300,89957.224883
1.874185,61,90691.279439
-1.096451,38,90786.752425
1.960034,20,90835.747262
-0.944358,300,91691.514443
1.961824,28,91800.212027
1.752643,124,92079.613447
-1.41895,300,92725.804579
1.976418,19,92776.471657
1.749503,206,93312.635723
1.963665,19,93353.802151
1.918107,38,93423.92691
-0.705818,300,94606.121678
1.945355,27,94664.783244
1.946011,41,94741.592306
1.951654,28,94796.535853
-1.318771,300,95431.760547
-1.120641,300,96160.298419
1.926415,41,96243.872568
1.876755,51,96417.233725
-1.13118,300,97903.230977
1.948828,39,98014.978692
1.830423,76,98209.231877
-0.707931,300,98935.976303
1.881403,46,99025.579324
1.973716,19,99073.2857
-0.389657,300,99797.653846
-1.169563,300,100409.890089
-0.966761,300,101593.486582
-1.080159,300,102296.249384
-0.969567,300,103220.286954
-0.830644,300,103875.197976
1.900802,46,104004.076487
1.903442,67,104180.890016
1.966948,20,104222.559275
1.987497,15,104271.692581
-1.270593,300,105424.876975
1.948138,38,105510.751771
-0.901772,300,106185.470167
1.949036,27,106266.123517
1.954368,33,106392.381886
1.893703,71,106584.604165
-0.647733,300,107383.329455
