#{"t_start": 1655903818.3287206, "env_id": "DobotTrajectory-v0"}
r,l,t,final_status,is_success
-2.750791,50,1004.411069,success,1.0
-3.567035,50,1004.456479,success,1.0
-3.511559,50,1004.503502,success,1.0
-1.347679,50,1004.548188,success,1.0
-1.147053,50,1004.593975,success,1.0
-1.365978,50,1065.159233,success,1.0
-1.65654,50,1065.20625,success,1.0
-1.651808,50,1065.253144,success,1.0
-2.164083,50,1065.298146,success,1.0
-2.767219,50,1065.346091,success,1.0
-3.668477,50,1065.392388,success,0.0
-3.83476,50,1065.438221,success,1.0
-2.368011,50,1065.484202,success,1.0
-1.464893,50,1065.528831,success,1.0
-1.795522,50,1065.573741,success,1.0
-3.048295,50,1126.407539,success,1.0
-3.209315,50,1126.455242,success,1.0
-2.476629,50,1126.505157,success,1.0
-1.965186,50,1126.552953,success,1.0
-1.572026,50,1126.607444,success,1.0
-2.435908,50,1126.655641,success,1.0
-5.104787,50,1126.70619,success,1.0
-1.618719,50,1126.755534,success,1.0
-1.303032,50,1126.804467,success,1.0
-1.09661,50,1126.852666,success,1.0
-2.420379,50,1183.121577,success,1.0
-1.917875,50,1183.166528,success,1.0
-4.887953,50,1183.212291,success,1.0
-4.061486,50,1183.257386,success,1.0
-3.820352,50,1183.304079,success,1.0
-1.733677,50,1183.351299,success,1.0
-3.055173,50,1183.397804,success,1.0
-2.304478,50,1183.443323,success,1.0
-3.304204,50,1183.491206,success,1.0
-4.024999,50,1183.535697,success,1.0
-5.348641,50,1244.827108,success,1.0
-1.491799,50,1244.873288,success,1.0
-2.219296,50,1244.91837,success,1.0
-2.647969,50,1244.965558,success,1.0
-2.328278,50,1245.010239,success,1.0
-2.786076,50,1245.056358,success,1.0
-5.992957,50,1245.101518,success,0.0
-1.613978,50,1245.146261,success,1.0
-4.459928,50,1245.192807,success,1.0
-2.933127,50,1245.23777,success,1.0
-1.795604,50,1305.941964,success,1.0
-3.613871,50,1305.988581,success,0.0
-2.63417,50,1306.035196,success,1.0
-2.516328,50,1306.081848,success,1.0
-1.473189,50,1306.127313,success,1.0
-1.553741,50,1306.172502,success,1.0
-2.583166,50,1306.220411,success,1.0
-4.913911,50,1306.267696,success,1.0
-2.929657,50,1306.313196,success,1.0
-1.200429,50,1306.358415,success,1.0
-2.916295,50,1366.965972,success,1.0
-1.72803,50,1367.010849,success,1.0
-4.920141,50,1367.05555,success,1.0
-1.71813,50,1367.100219,success,1.0
-2.348719,50,1367.144665,success,1.0
-3.417074,50,1367.190741,success,0.0
-4.339274,50,1367.235163,success,1.0
-4.557582,50,1367.28066,success,0.0
-2.279038,50,1367.325849,success,1.0
-2.95212,50,1367.370232,success,1.0
-1.045805,50,1428.032224,success,1.0
-1.851685,50,1428.078411,success,1.0
-0.935907,50,1428.123403,success,1.0
-1.655587,50,1428.1688,success,1.0
-2.395355,50,1428.214272,success,1.0
-4.50934,50,1428.258941,success,1.0
-2.769005,50,1428.303624,success,1.0
-2.361239,50,1428.348256,success,1.0
-1.434109,50,1428.393082,success,1.0
-2.36962,50,1428.439408,success,1.0
-1.452528,50,1488.61992,success,1.0
-2.009861,50,1488.665085,success,1.0
-4.133795,50,1488.713814,success,1.0
-1.574266,50,1488.762287,success,1.0
-3.075341,50,1488.810609,success,1.0
-1.756118,50,1488.856622,success,1.0
-1.779888,50,1488.903577,success,1.0
-1.47738,50,1488.948631,success,1.0
-1.628213,50,1488.995119,success,1.0
-1.789993,50,1489.040472,success,1.0
-1.389803,50,1549.799224,success,1.0
-3.347947,50,1549.845926,success,1.0
-2.046009,50,1549.893821,success,1.0
-2.457052,50,1549.938807,success,1.0
-1.741578,50,1549.9841,success,1.0
-1.368527,50,1550.028776,success,1.0
-1.871894,50,1550.075012,success,1.0
-1.467412,50,1550.120926,success,1.0
-2.369141,50,1550.166491,success,1.0
-4.576351,50,1550.212734,success,1.0
-1.101457,50,1610.695246,success,1.0
-5.068777,50,1610.746115,success,1.0
-2.107213,50,1610.798196,success,1.0
-1.499768,50,1610.847643,success,1.0
-3.091549,50,1610.895916,success,1.0
-3.70631,50,1610.9456,success,1.0
-1.997284,50,1610.997868,success,1.0
-2.108631,50,1611.048564,success,1.0
-4.12668,50,1611.09622,success,1.0
-1.607754,50,1611.148251,success,1.0
-4.76266,50,1672.370394,success,1.0
-1.840265,50,1672.416033,success,1.0
-2.133057,50,1672.460818,success,1.0
-2.884917,50,1672.50704,success,0.0
-4.277254,50,1672.551684,success,1.0
-1.138318,50,1672.596807,success,1.0
-2.768431,50,1672.641766,success,1.0
-2.945667,50,1672.687021,success,1.0
-2.449954,50,1672.733114,success,1.0
-1.574323,50,1672.777979,success,1.0
-3.793507,50,1733.322407,success,1.0
-3.149732,50,1733.367723,success,1.0
-3.832059,50,1733.413471,success,0.0
-5.648597,50,1733.461854,success,0.0
-1.399169,50,1733.506193,success,1.0
-2.797105,50,1733.550983,success,1.0
-3.025391,50,1733.59602,success,1.0
-3.629768,50,1733.641946,success,1.0
-3.263353,50,1733.687042,success,1.0
