#{"t_start": 1651681209.5388203, "env_id": "FollowPathURSim-v0"}
r,l,t
-2.168021,266,15079.342824
-1.514911,169,15109.199866
-1.891186,296,15154.094356
-1.993837,237,15193.076933
-3.920315,800,15287.215623
-1.783679,274,15904.557512
-1.983908,328,15949.828145
-3.050345,800,16044.905215
-2.009721,220,16084.520073
3.862803,55,16105.63031
-1.127492,84,16124.314071
3.859501,57,16142.32871
-1.514361,151,16167.909572
-3.020754,707,16256.280186
-1.723963,188,16296.884448
-3.902722,800,16394.602544
-1.367531,800,16502.488914
0.641851,182,16546.625
-2.131646,800,16645.884801
-1.607862,800,16749.437995
-2.325423,248,16794.072842
-1.960373,241,16839.463114
-2.931101,370,16899.199787
-1.757994,214,16943.93229
-1.958981,219,16981.963899
3.893822,51,16997.579716
-1.715446,310,17037.796644
-2.079363,227,17077.224379
-1.644879,251,17118.482961
-1.098121,55,17143.999368
3.907863,52,17159.443002
3.8274,90,17176.628474
3.859353,61,17192.702422
-2.51823,800,17286.035557
-3.367036,800,18116.499863
-2.706236,800,18226.119904
-1.451855,161,18262.531225
3.845429,80,18285.162516
-1.735096,800,18377.391522
-1.130109,47,18403.288462
-1.466999,105,18423.174811
-1.62397,335,18469.544377
-2.864869,515,18537.275381
-2.818538,800,18640.838281
3.945743,39,18663.689241
-1.977601,347,18706.716753
3.916878,52,18729.088324
3.96725,26,18739.189518
-4.486472,800,18829.261173
-3.902247,800,18932.755985
-4.714336,800,19035.850674
-1.110927,52,19063.615057
-2.433072,800,19154.047206
-1.217793,73,19182.338816
-1.691598,158,19209.605418
-2.897272,800,19311.149982
3.974439,21,19334.527093
-1.364354,107,19351.419124
-2.637329,679,19434.735213
2.079756,526,19507.473887
-1.268242,122,19536.605793
3.72037,101,20235.000172
-2.758692,643,20312.324093
-1.634981,153,20344.327506
3.91938,41,20357.409513
3.739189,116,20377.637084
-2.098136,309,20419.808214
-1.742124,238,20461.154397
3.890133,48,20478.7955
3.567576,147,20503.284945
3.93079,43,20518.262886
-2.413514,622,20590.43206
-1.275847,64,20615.311572
-1.476951,100,20635.211033
-2.191705,800,20730.346921
-2.018802,800,20839.658311
-3.08345,800,20936.543995
3.990315,14,20962.312893
-2.165456,800,21050.7031
-1.344939,83,21072.89964
-1.713806,206,21107.00322
-3.138962,800,21204.598185
-1.540396,800,21306.074654
3.839969,73,21334.412819
-1.28572,95,21353.728738
-1.28922,70,21368.576153
-1.889225,332,21409.961304
-2.191201,356,21457.819648
-1.633055,800,21567.99941
3.870218,63,21589.085859
-2.051517,298,21629.486093
-1.192825,76,21646.958275
-2.442658,735,22143.759957
-2.644691,800,22243.775886
-1.253245,800,22345.364926
-1.596683,158,22382.614012
-1.798363,800,22477.006385
-1.890056,800,22578.535988
3.875162,66,22600.094065
-1.384064,223,22633.796481
-1.190083,55,22652.287561
3.960589,28,22661.684752
-3.435415,800,22752.071065
-3.271669,800,22853.634335
-2.836639,356,22905.999939
-2.762219,800,23003.301527
-1.065329,800,23102.227592
-2.913325,360,23157.85061
3.739356,110,23188.759334
-1.846001,800,23284.663342
3.550266,152,23315.697801
-1.701056,202,23351.240093
3.751253,90,23373.732425
-1.10445,42,23388.125234
-1.563516,107,23405.94417
3.79055,128,23426.567942
-2.66763,545,23803.081534
-1.131118,800,23903.980392
3.181009,152,23935.273138
-2.914962,800,24030.881816
-1.466097,96,24061.329376
3.711675,208,24091.948124
-1.929916,248,24133.124756
3.708822,149,24169.366445
-2.400844,800,24264.000216
-1.090821,50,24290.535908
-1.078081,800,24382.701604
-2.757353,636,24465.289042
-2.5467,412,24530.354684
3.758993,86,24554.640165
-2.103204,800,24649.244671
3.87486,55,24675.434732
3.778872,77,24693.276985
-1.361151,130,24717.139983
-2.97915,622,24793.97888
3.852643,109,24824.117041
3.957682,35,24836.125551
-1.673279,800,24925.570477
-1.488387,240,24969.27726
-1.903302,280,25016.978378
-2.518197,554,25092.221658
-1.86623,800,25684.389402
-1.498861,800,25787.83146
3.861278,64,25816.091089
-2.85833,471,25875.412449
-3.343255,800,25975.63695
3.817634,83,26001.853323
-1.313306,88,26020.821552
-2.757079,442,26077.285432
3.962989,28,26097.239126
3.881028,71,26111.065892
-2.082869,311,26152.836479
3.014082,775,26252.974766
-4.724731,800,26353.903821
-3.669447,800,26456.864462
3.956196,31,26485.56509
-4.399327,800,26576.569419
-1.142401,64,26601.873834
-2.109635,185,26631.929685
-3.188473,800,26733.180691
3.890177,54,26757.603195
3.745517,107,26778.57137
-0.97043,800,26872.622876
-4.797894,800,26971.817383
-2.110219,391,27031.317544
-3.53479,800,27838.52784
-1.582633,399,27899.355063
-2.754685,493,27972.045363
-2.590767,422,28036.461169
-1.071223,49,28060.921548
-5.393651,800,28151.171838
3.870035,55,28176.79197
-1.880803,369,28225.414613
-3.849964,762,28323.429928
-2.144176,432,28389.239347
-3.932116,800,28490.1566
-3.204221,451,28559.069678
-4.740286,800,28657.504067
3.86782,111,28688.40567
3.890767,76,28706.748643
